"","date","sg","sf","sb","gs","gf","gb","fs","fg","fb","bs","bg","bf"
"1","2013-01-03",0.00108431684736439,0.00255577834219115,0.00235042076646848,0.0126826427918849,0.016667591164985,0.0048085135551011,0.175044778923299,0.0983968525671495,0.0650448475180766,0.00268937960231481,0.000470396173935139,0.00107855027071952
"2","2013-01-04",0.000688275784594062,0.00153914370751183,0.000152093333535344,0.0127278667534585,0.0164004829300662,0.0042511777793184,0.14730703529656,0.0855586805161944,0.048297337092742,0.000155614218867388,0.000235209704039029,0.000512738271453269
"3","2013-01-07",0.000546192703380838,0.00110160151608974,2.39649104696163e-05,0.0126141326815068,0.024643381988528,0.00426458829489101,0.148968704566063,0.14567754702981,0.0492307983782497,1.90262055754279e-05,0.000146602705089657,0.000286329542547788
"4","2013-01-08",0.000580521559000644,0.00114266840687336,2.69084453134359e-05,0.0124744705446569,0.0229850316214237,0.00407081421972178,0.154821976540274,0.146326251111519,0.0472193865118996,1.47533582800816e-05,0.000103867528261737,0.000189352160689324
"5","2013-01-09",0.000748128471451606,0.00143700963775393,2.13309957546415e-05,0.0126394936102916,0.0236471084120627,0.0039190667259531,0.161980509184235,0.159238230277251,0.0434544711217472,8.5620759645268e-06,9.31101686960632e-05,0.000153421094489617
"6","2013-01-10",0.000613010621738516,0.00117090325053468,1.62810669569775e-05,0.0126175453315731,0.0225188143002029,0.00384289972525967,0.150372738945186,0.141724419866284,0.0384098869075665,5.65537476795957e-06,6.48530948415602e-05,0.000103076795448552
"7","2013-01-11",0.000577483431437355,0.000956134000698085,1.25951085896222e-05,0.0119168282961734,0.0244353265726077,0.00339386403892119,0.136152359211695,0.171015523376889,0.0296915042865028,4.05248452232238e-06,5.29166978723495e-05,6.62147543584855e-05
"8","2013-01-14",0.000443218224637682,0.000724804298336978,1.14936545495228e-05,0.0114618150217011,0.0239480833511197,0.00343546174657232,0.141811666742571,0.183835790574596,0.0321682923473617,5.43109561979179e-06,6.27738319943802e-05,7.6618592433204e-05
"9","2013-01-15",0.000432150597664615,0.000724280681175552,1.12059077723899e-05,0.0113511267044842,0.0235580687870208,0.00343267313494636,0.144488007605143,0.18119700400508,0.0328470712730287,2.6633274828662e-06,3.10603342127741e-05,3.86557845181211e-05
"10","2013-01-16",0.000464816410397484,0.000701024050481167,5.55233696542487e-05,0.0110854720546881,0.021534116289002,0.0034097020626033,0.108427516988137,0.141947676441292,0.0434007876502604,7.61974825693885e-06,1.96204291101561e-05,3.78796454205876e-05
"11","2013-01-17",0.000520128635324078,0.000813282468943795,1.86317676175123e-05,0.00968509916145386,0.0158326771803047,0.00339669848644187,0.103372708283431,0.1103156182779,0.0375791263342452,1.8900297563623e-06,1.85045391301593e-05,2.94401876738854e-05
"12","2013-01-18",0.000515033444388333,0.000787207672474749,1.45109733253737e-05,0.0097474344247862,0.0150301916562512,0.0033165220720052,0.0918663806224421,0.094557662935702,0.030783239029261,2.16212179727274e-06,2.61102850165742e-05,3.86073776625588e-05
"13","2013-01-22",0.00064220481933531,0.00101982295083105,1.72625274546923e-05,0.00984527167565593,0.0162110005121819,0.00326578907340447,0.117831610868573,0.124231224823356,0.0344730113277623,2.85448137986619e-06,3.52254718537781e-05,4.85993909101855e-05
"14","2013-01-23",0.000908700921118197,0.00142132831379187,2.38834901146021e-05,0.00997891075242397,0.0159833268364499,0.00321941906813855,0.112120993153361,0.116719696278948,0.0310675839970531,1.57705592437414e-06,1.93581854076773e-05,2.56224347609277e-05
"15","2013-01-24",0.00121600434616154,0.00181671695373917,3.12985462688288e-05,0.00988316300612898,0.0150524205559589,0.00320401533216892,0.128554705398911,0.133398407594754,0.0273939900610742,1.24520079679462e-06,1.56837163103952e-05,1.5166023154103e-05
"16","2013-01-25",0.00143526371646803,0.00212115410984441,3.72865120134368e-05,0.00969916953291328,0.0151971314311292,0.00313865295782991,0.117987094772447,0.127367746981274,0.0260061519873372,1.39474595717534e-06,1.73733594843746e-05,1.72035223141788e-05
"17","2013-01-28",0.00171922611526432,0.00210149920043742,4.41662733484246e-05,0.0097841397353848,0.0161380923359547,0.00314845627613593,0.106806201199129,0.147842626419102,0.0275088298953934,2.19918753161586e-06,2.75473310370438e-05,2.63005542003525e-05
"18","2013-01-29",0.00229076089034952,0.00286831723247293,5.82850122216913e-05,0.0099546556402573,0.0161863810275999,0.00319358162594536,0.107516566107265,0.142985313147922,0.0272577423727872,4.73097262083103e-06,5.9652010070077e-05,5.76796296692736e-05
"19","2013-01-30",0.002878245460221,0.00391378636330063,7.27021836625515e-05,0.0101288382602073,0.0155037414403655,0.00324719614620778,0.120709845837638,0.1385781866284,0.0267836483910509,7.15644482632625e-06,9.08294296103904e-05,8.38868342678677e-05
"20","2013-01-31",0.00306968469453233,0.00439071995188003,7.71142214665943e-05,0.0103010690442086,0.0166490373288307,0.0030725209516142,0.114361301026897,0.13143825769065,0.0197344870802392,9.94000779078977e-06,0.000118020804349933,9.60732841607852e-05
"21","2013-02-01",0.00154674929399656,0.00327880860181594,0.00125266755166537,0.00829915654737078,0.0196446647658521,0.00288984868479906,0.0795302573090242,0.0897451452213923,0.00501874616872391,0.000422911391101905,0.000181833805569815,6.91863263799671e-05
