"","date","sg","sf","sb","gs","gf","gb","fs","fg","fb","bs","bg","bf"
"1","2013-01-03",8.96442869997738e-05,1.57648065185335e-05,0.000571924470339436,0.0014035661077021,0.0168696049337369,0.00659641151417666,3.95277898271188e-05,0.00270152221667589,0.00148331376234473,4.7954463555146e-05,3.53254614957437e-05,4.96031775398586e-05
"2","2013-01-04",2.18637555634932e-05,1.0311401209167e-05,0.000376812531356677,0.000402108562915997,0.0137003212257989,0.00554948511607454,1.60896857656352e-05,0.00116236378065777,0.000626162775254809,1.73272522366342e-05,1.38751757536843e-05,1.84527768070211e-05
"3","2013-01-07",0.000130089736258091,4.74895835938288e-05,0.000263662874329944,0.00283312500693326,0.00935120583905291,0.00491508010527457,5.16568047901493e-05,0.000467061522383621,0.000318141698188053,1.63906555509594e-05,1.40299213843186e-05,1.8181878797162e-05
"4","2013-01-08",7.43003126473104e-05,4.76968000691919e-05,0.000208890464052817,0.00160872228309774,0.00815634612314795,0.00413784516508936,4.33271716705335e-05,0.00034219708625138,0.000221684429015446,7.83916353979734e-06,7.17191129675703e-06,9.15830712144114e-06
"5","2013-01-09",7.78137825631015e-05,3.49347927888485e-05,0.00016164874548219,0.0019690153650074,0.00806875598579338,0.00390905365448313,4.60594971405267e-05,0.000420411923061691,0.000257321077820036,8.78776922127086e-06,8.39818346968347e-06,1.06101285560702e-05
"6","2013-01-10",3.8395324377215e-05,3.48996948294013e-05,0.000133857185818921,0.00111514856964478,0.00826830621546341,0.00397666519582432,3.33408194190266e-05,0.00027196736998752,0.000162943097271579,3.71995974039526e-06,3.80505717699588e-06,4.73999492642831e-06
"7","2013-01-11",3.62854795239508e-05,3.0602645873843e-05,0.000123249645829207,0.000992350791198958,0.00649182409435714,0.00350078369214579,2.90732278539877e-05,0.000225511485181741,0.000153241579133528,1.66722426191757e-06,1.73157483432991e-06,2.18197959615031e-06
"8","2013-01-14",8.45153564798728e-05,3.04910190987295e-05,0.000120701624177559,0.0018830887732959,0.0052752254126699,0.00277759426529221,2.72065679351866e-05,0.000211255330016011,0.000144024897176917,9.52614426970379e-07,9.83869914677225e-07,1.27391307340077e-06
"9","2013-01-15",0.000108619583771596,2.73431626043387e-05,0.000131710385347666,0.00181425964298241,0.00475941545804667,0.00229437113102548,3.03537474120537e-05,0.000316319438960286,0.000194803926305539,1.04628047408748e-06,1.09119021725697e-06,1.39399827171767e-06
"10","2013-01-16",9.25376650757357e-05,3.09712826008437e-05,0.00015240070165422,0.00120425072590785,0.0042499244714501,0.00210730520141748,2.81319934561057e-05,0.000296636199980867,0.000184825106823976,1.59945410957086e-06,1.69947146549761e-06,2.13552405003323e-06
"11","2013-01-17",0.00011609718952815,2.14202867053333e-05,0.000179521810923399,0.00136031895266749,0.00475750379535532,0.00225084406884132,2.53911396047553e-05,0.000481301277990935,0.00028035132515664,9.37288319656661e-07,1.0029570870913e-06,1.23481439537681e-06
"12","2013-01-18",0.000114191375589269,3.40570671008757e-05,0.000219436602312646,0.000805209293412936,0.00349117188416984,0.00164309886188793,1.91656786171025e-05,0.000278620273138483,0.000158086105846513,7.79476652908116e-07,8.27717737978075e-07,9.97862694578548e-07
"13","2013-01-22",5.78249683100412e-05,9.56093912077913e-05,0.000274978120649263,0.000270468773211914,0.00400915423735548,0.00139796993279615,3.4571671492703e-05,0.000309935170513272,0.00012699435224409,1.25810108910637e-06,1.36745644339444e-06,1.60687458323376e-06
"14","2013-01-23",2.65795899578822e-05,0.00012417585508921,0.00035887225588206,9.46306356762522e-05,0.00398749482461878,0.00140162290985705,4.11743244111537e-05,0.00037136927898324,0.000151632221203114,6.07461667590203e-07,6.6638728241002e-07,7.74071659880363e-07
"15","2013-01-24",8.92621779054611e-06,0.000144096777407667,0.000382920124010497,2.75378369292759e-05,0.00380765456792291,0.0013466078978183,4.9026609207621e-05,0.000419926020595185,0.000171244226439911,4.60231229434464e-07,5.24622250719446e-07,6.04931560017884e-07
"16","2013-01-25",0.000505279095841263,0.000298566746502036,0.000404655908532394,0.0012413858801505,0.00298394702397171,0.00119454135985429,0.000164603806698071,0.000669597891582387,0.000306422907409561,5.23623284397883e-07,6.2915664177065e-07,7.19210226891877e-07
"17","2013-01-28",0.000627076297090246,0.000336520966221415,0.000475929624812463,0.00132022830369405,0.0029766795877682,0.00117795145720919,0.000121524560092264,0.000510570085602244,0.00023108239841009,4.62284154878024e-07,5.43456777056802e-07,6.21557348139552e-07
"18","2013-01-29",0.000549483954818675,0.000410754296660618,0.000542142516710987,0.00121721079519572,0.00371901538189751,0.00138273538282467,0.000110103455523096,0.000450024366045262,0.000174108850097112,6.82507464561323e-07,7.85818473439167e-07,8.17703677869806e-07
"19","2013-01-30",0.000439401246174649,0.000319103573928987,0.000604038692483906,0.00103462189642175,0.00435328395521654,0.00169032132934216,9.07724651798938e-05,0.000525919261385377,0.00020653959297649,1.22738463730996e-06,1.45869607630409e-06,1.47535583722296e-06
"20","2013-01-31",0.000563367040417998,0.000383036476337302,0.00068624305073174,0.00114598534958977,0.00384928224017076,0.00162578250022081,0.000135290538479729,0.000668373799907247,0.000277855040028658,5.60872547799015e-06,6.53222353864016e-06,6.42950015696759e-06
"21","2013-02-01",0.000315339843209688,0.000553055506289564,0.000693479696376634,0.000511220981152198,0.0036581261831587,0.00132991879947055,0.000118577570618538,0.000483796461502862,0.000175273836812118,1.76878859207199e-05,2.09236516593542e-05,2.0850930658667e-05
