"","date","sg","sf","sb","gs","gf","gb","fs","fg","fb","bs","bg","bf"
"1","2013-01-03",0.00102697488379785,0.0103985774338004,0.00339752929338009,0.0202263130469926,0.101428710411581,0.194251353075767,0.000123531693176162,6.11798581191512e-05,9.96292000868499e-05,0.000279229820375279,0.000810598391163899,0.000689256335235603
"2","2013-01-04",0.00249118644327939,0.00724827997835209,0.00214934021361646,0.0711899599807512,0.102830857532608,0.191358842263111,6.85496638023601e-05,3.40315170406582e-05,5.3935539058735e-05,0.0001235149634298,0.000384813613550812,0.000327732163332201
"3","2013-01-07",0.00152549796215124,0.00646503508802016,0.00172894545182313,0.0497177736702726,0.0889274547408111,0.192458348210819,4.65989598320264e-05,1.96671376486899e-05,3.41576771029995e-05,5.74465081124363e-05,0.000196209059776482,0.000157458219475867
"4","2013-01-08",0.00183727567573547,0.00504837729431473,0.00133297987758214,0.0757640153701824,0.0930838997236744,0.191933895723172,3.88336656961537e-05,1.73637088178217e-05,2.83710336202461e-05,3.20819998644805e-05,0.000112021364757668,8.87679958542493e-05
"5","2013-01-09",0.00183740888193275,0.00422941377594112,0.00107156207408166,0.0892948004801204,0.0968799363374408,0.191562359766544,3.63983842245879e-05,1.71559753881874e-05,2.68984899327584e-05,1.82620546647525e-05,6.71772347383761e-05,5.32670044514771e-05
"6","2013-01-10",0.00185156327624425,0.00410035224637903,0.000947741975069691,0.093866225656654,0.100185083604913,0.191599400281784,3.40253322369045e-05,1.6398853103506e-05,2.45072536483194e-05,1.03302793696494e-05,4.11950751419077e-05,3.21910682660337e-05
"7","2013-01-11",0.0020307601208764,0.00455290540543947,0.00104873999244419,0.0942855953214752,0.102974514889138,0.190506131881043,3.22901947342372e-05,1.57298677195944e-05,2.32058608544738e-05,8.26737463028945e-06,3.23461075324393e-05,2.57938063536041e-05
"8","2013-01-14",0.0017452894853539,0.00558345169956197,0.00123447112624704,0.0645216596889404,0.104603237764063,0.190514365363286,3.03610749183419e-05,1.53858484139587e-05,2.24219072429206e-05,8.6838848045873e-06,3.62512334218248e-05,2.90062301791949e-05
"9","2013-01-15",0.00335349208740135,0.00797633638900953,0.00169445034794613,0.0855649609111244,0.106593029944322,0.190626458024259,3.0170566327853e-05,1.5801930160167e-05,2.26218666129485e-05,1.16066248557428e-05,5.11754427112755e-05,4.09661863823806e-05
"10","2013-01-16",0.00477071980755431,0.0104682405525753,0.0021926448416076,0.0928670254406132,0.108440600800693,0.191281456266023,3.16263841070691e-05,1.68302333579491e-05,2.38125095002184e-05,1.75572967052514e-05,7.86836687953925e-05,6.3112978416225e-05
"11","2013-01-17",0.00635812437909975,0.0137879356403365,0.0023090900593256,0.0953467737239423,0.110080533748747,0.190670416770571,2.82955490763742e-05,1.50644202329762e-05,2.05695002924852e-05,1.86260699106143e-05,0.000102562049329773,8.08509672628369e-05
"12","2013-01-18",0.00849820710597565,0.017110458919017,0.00219996428028111,0.0952421986168711,0.110508330221961,0.191212953791072,2.52216452430296e-05,1.45346530788181e-05,2.10831636270897e-05,9.0969225906203e-06,7.05495224927416e-05,5.91429379011733e-05
