"","date","sg","sf","sb","gs","gf","gb","fs","fg","fb","bs","bg","bf"
"1","2013-01-03",9.93395398491232e-05,0.000211228148850377,5.12263659658334e-05,0.00198763620471088,0.00186757035783652,0.000581752932980437,0.271802316420965,0.120105688735363,0.0531567832969945,0.00225275521481376,0.00127862821189471,0.00181667734521987
"2","2013-01-04",2.52174413681383e-05,5.0971163156591e-05,2.75792902924066e-08,0.000891129986126451,0.000676719768085608,0.000257319692359342,0.244996107261489,0.0920456915122934,0.0462409920874013,4.38212171967397e-06,0.00115700260275839,0.00152860002582768
"3","2013-01-07",1.30650080119271e-05,2.47828664618637e-05,2.5291800767495e-06,0.000551512140304616,0.00015844232924923,0.000160200557855054,0.228047365781295,0.0345381717659916,0.0404100027568578,0.000368118058399805,0.000552364804158532,0.000639179338737613
"4","2013-01-08",1.36188288378592e-05,2.66115787990883e-05,3.49972730680282e-06,0.000478484179022311,0.000150507709016651,0.000137842692759998,0.252137820976814,0.0405880585888278,0.0495199003464026,0.000330134437027363,0.000370094431264728,0.000493025112176876
"5","2013-01-09",1.42732362003361e-05,2.87499154621563e-05,4.08712800929855e-06,0.000618666206264519,0.000170710414757352,0.000180967578058067,0.262798829311971,0.0360008645662321,0.0489277258874585,0.000478346653072268,0.000488642607051987,0.000626459044229176
"6","2013-01-10",2.50350491100234e-05,4.95981058930859e-05,7.45444958005421e-06,0.000694357329501981,0.000251477083876059,0.000205981639629299,0.24876941726887,0.0454774114041758,0.0473073170338043,0.00104128176049495,0.00103740088431592,0.0013174953982616
"7","2013-01-11",8.52075356304791e-05,0.000167165724802452,2.54839282381244e-05,0.000587382370005248,8.544364078129e-05,0.00017062158825213,0.239896579987718,0.0177874488420398,0.0471426022714582,0.000528759208280117,0.000513549898947112,0.000681598002610858
"8","2013-01-14",5.16002772027516e-05,0.000100890164084518,1.56388567557548e-05,0.000861814279431973,9.59234392803911e-05,0.000207095910371484,0.215742076677773,0.0122814350913209,0.0582849953614026,0.000534945542661924,0.000424145089392828,0.000932342187344862
"9","2013-01-15",6.75223781619616e-05,0.000147878673096555,2.04973878549401e-05,0.000556797610800407,3.08390083105014e-05,0.00013348491252752,0.23784803414398,0.00601512687299722,0.0561664244944602,0.000766808150974187,0.00060557892088962,0.00130638438618141
"10","2013-01-16",5.57924689527195e-05,0.000136564608896226,1.90946670300134e-05,0.000558178730256391,4.23151131439104e-05,0.000143378787976214,0.292977309761602,0.00907389239958714,0.0687536177027697,0.000949510641335158,0.000712647799651522,0.00159363001549647
"11","2013-01-17",4.35484700510461e-05,0.000106203759004147,1.38282146191735e-05,0.000306885643779407,3.29749330021264e-05,7.77962091452194e-05,0.28295853782406,0.0124670346168498,0.0667618460317688,0.00168512570882027,0.00134530562391647,0.00305359641307905
"12","2013-01-18",5.09982453314055e-05,0.000111920117482527,1.42703748542759e-05,0.000311836210448469,0.000135144288801021,6.93636720636681e-05,0.269541653169214,0.0532284864474739,0.0616230269922728,0.00224744516255743,0.001786547174969,0.00402975869414764
"13","2013-01-22",6.44603638231147e-05,0.000141913264162552,1.81622003498719e-05,0.00044795542974711,0.000201639134119461,9.77716689039754e-05,0.218866288648212,0.0447495482310693,0.036203272675808,0.00222453863841859,0.00172322690628183,0.00287516941057134
"14","2013-01-23",0.000103579409299119,0.000222517906141114,1.30890148418746e-06,0.000865456890111152,0.000385134235010009,0.000184492295651778,0.188339227992853,0.0390135918944709,0.0336062523183203,0.000132321055943194,0.00223217491271735,0.00401389737884651
"15","2013-01-24",0.000157052705223098,0.000332206027862259,2.85645227915789e-05,0.000613170910150627,0.000282453638862035,0.000127204497386841,0.261788669809828,0.0570104397011788,0.0460230570773689,0.0036245220744424,0.00413418703692555,0.00741064321343928
