"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0.122830310293455,0,0,0,-0.0721461840879805,0,0,0,-0.12153742724171,0,0,0,0,0.0982001060046019
"AUS",0,0,0,0,0,0,0,0.106687404016228,0,0.180754567437219,0.0952063507912626,0,0,0.0938950192612892,-0.0742955086114679,0
"BRA",0.122830310293455,0,0,0.139067294998514,0.112253480917292,0,0.100200725875767,0.0957044967700441,0,0.249891692076816,0.239122580041713,-0.155065943479878,-0.170979336158705,0.159586480527257,-0.200595553934903,-0.19041994514916
"CAN",0,0,0.139067294998514,0,-0.129617828762234,0,-0.0800581934424387,0,0,-0.0883840840892692,0,0.543579521221882,0.0700463581139803,0.110696402114964,-0.177316941132227,0
"CHN",0,0,0.112253480917292,-0.129617828762234,0,0.0728454519679611,0,0,0,0,0,0.0859552382069586,0.0873888301394259,0,0.156159600930988,-0.0973094863581668
"FRA",0,0,0,0,0.0728454519679611,0,0.155324086630095,0,0.0916640603591573,0,0,0,0,0,0.088868750167211,0
"GER",-0.0721461840879805,0,0.100200725875767,-0.0800581934424387,0,0.155324086630095,0,0,0,0,0,0.12857512511616,0,0.0788255970115486,0,0
"IND",0,0.106687404016228,0.0957044967700441,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851763253781724
"JPN",0,0,0,0,0,0.0916640603591573,0,0,0,0,0,0.0805972180752089,0,-0.121927494450034,0,0.0757877246188587
"KOR",0,0.180754567437219,0.249891692076816,-0.0883840840892692,0,0,0,0,0,0,0,0.177716796433571,0,0,0,0.163327915487747
"MEX",-0.12153742724171,0.0952063507912626,0.239122580041713,0,0,0,0,0,0,0,0,0,0,-0.0773796775490605,0.622322687656176,0.164525680443903
"RUS",0,0,-0.155065943479878,0.543579521221882,0.0859552382069586,0,0.12857512511616,0,0.0805972180752089,0.177716796433571,0,0,0,0.149761322253885,0.090752320967781,0.169337403295221
"SIN",0,0,-0.170979336158705,0.0700463581139803,0.0873888301394259,0,0,0,0,0,0,0,0,0.137047263901006,0,-0.0959613513466586
"THA",0,0.0938950192612892,0.159586480527257,0.110696402114964,0,0,0.0788255970115486,0,-0.121927494450034,0,-0.0773796775490605,0.149761322253885,0.137047263901006,0,0.141547433389239,0
"UK",0,-0.0742955086114679,-0.200595553934903,-0.177316941132227,0.156159600930988,0.088868750167211,0,0,0,0,0.622322687656176,0.090752320967781,0,0.141547433389239,0,0
"US",0.0982001060046019,0,-0.19041994514916,0,-0.0973094863581668,0,0,-0.0851763253781724,0.0757877246188587,0.163327915487747,0.164525680443903,0.169337403295221,-0.0959613513466586,0,0,0
