"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0,0,0,-0.151527356215691,0,0,0,0,0,0,0,0,-0.124190824154499,0
"AUS",0,0,0.270600866362437,-0.112101904964421,0.161980486692587,0,0,-0.220078978301273,0,0.160659781207377,0.204118628915913,0.227894202820899,0,0.136811961384887,0,0
"BRA",0,0.270600866362437,0,0,-0.28080036226865,0,0,0.318047593597544,0,0,0,0.13118000572726,0,0.112004992432005,0,0
"CAN",0,-0.112101904964421,0,0,0,0,0,0,0,0,0,0.285748096164065,0,0,0,0
"CHN",0,0.161980486692587,-0.28080036226865,0,0,0,0,-0.271758226883927,0,-0.188974133468919,0,0,0,0.182395043173899,-0.184141571859413,0
"FRA",-0.151527356215691,0,0,0,0,0,0,-0.150176577382764,0,-0.116343059178792,0,0,0,0,0,0.208834837208967
"GER",0,0,0,0,0,0,0,-0.191638843004293,0.152720100477747,0,0,-0.118171832448711,0,0,0,0
"IND",0,-0.220078978301273,0.318047593597544,0,-0.271758226883926,-0.150176577382764,-0.191638843004293,0,0,0,0.220404316803676,0,0.151880190119481,0.224501048267028,0,0.182850539277895
"JPN",0,0,0,0,0,0,0.152720100477747,0,0,0,0,0,0.11240991222507,0,0,0
"KOR",0,0.160659781207377,0,0,-0.188974133468919,-0.116343059178792,0,0,0,0,0.280288825832603,0,0,0,0,0
"MEX",0,0.204118628915913,0,0,0,0,0,0.220404316803676,0,0.280288825832603,0,-0.198615098452415,0.202938277971467,0,0,0
"RUS",0,0.227894202820899,0.13118000572726,0.285748096164065,0,0,-0.118171832448711,0,0,0,-0.198615098452415,0,0,-0.11637215978608,0,0.159366891564165
"SIN",0,0,0,0,0,0,0,0.151880190119481,0.11240991222507,0,0.202938277971467,0,0,0,0,0
"THA",0,0.136811961384887,0.112004992432005,0,0.182395043173899,0,0,0.224501048267028,0,0,0,-0.11637215978608,0,0,0,0
"UK",-0.124190824154499,0,0,0,-0.184141571859413,0,0,0,0,0,0,0,0,0,0,0
"US",0,0,0,0,0,0.208834837208967,0,0.182850539277895,0,0,0,0.159366891564165,0,0,0,0
