Phase,DD_Positive,DD_Negative,DD_Zero,DE_Positive,DE_Negative,DE_Zero,EE_Positive,EE_Negative,EE_Zero
1,0.42857142857142855,0.10714285714285714,0.4642857142857143,0.21875,0.21875,0.5625,0.35714285714285715,0.17857142857142858,0.4642857142857143
2,0.25,0.21428571428571427,0.5357142857142857,0.328125,0.203125,0.46875,0.32142857142857145,0.32142857142857145,0.35714285714285715
3,0.5,0.32142857142857145,0.17857142857142858,0.328125,0.28125,0.390625,0.35714285714285715,0.32142857142857145,0.32142857142857145
4,0.5,0.25,0.25,0.375,0.21875,0.40625,0.39285714285714285,0.2857142857142857,0.32142857142857145
5,0.25,0.07142857142857142,0.6785714285714286,0.140625,0.21875,0.640625,0.2857142857142857,0.07142857142857142,0.6428571428571429
