Phase,DD_Positive,DD_Negative,DD_Zero,DE_Positive,DE_Negative,DE_Zero,EE_Positive,EE_Negative,EE_Zero
1,0.39285714285714285,0.25,0.35714285714285715,0.328125,0.265625,0.40625,0.39285714285714285,0.21428571428571427,0.39285714285714285
2,0.2857142857142857,0.21428571428571427,0.5,0.296875,0.171875,0.53125,0.25,0.21428571428571427,0.5357142857142857
3,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.3125,0.28125,0.40625,0.39285714285714285,0.10714285714285714,0.5
4,0.32142857142857145,0.10714285714285714,0.5714285714285714,0.296875,0.1875,0.515625,0.4642857142857143,0.2857142857142857,0.25
5,0.14285714285714285,0.03571428571428571,0.8214285714285714,0.1875,0.140625,0.671875,0.2857142857142857,0.17857142857142858,0.5357142857142857
