Phase,DD_Positive,DD_Negative,DD_Zero,DE_Positive,DE_Negative,DE_Zero,EE_Positive,EE_Negative,EE_Zero
1,0.2857142857142857,0.10714285714285714,0.6071428571428571,0.265625,0.265625,0.46875,0.2857142857142857,0.32142857142857145,0.39285714285714285
2,0.39285714285714285,0.17857142857142858,0.42857142857142855,0.21875,0.234375,0.546875,0.2857142857142857,0.25,0.4642857142857143
3,0.42857142857142855,0.10714285714285714,0.4642857142857143,0.375,0.265625,0.359375,0.2857142857142857,0.2857142857142857,0.42857142857142855
4,0.32142857142857145,0.14285714285714285,0.5357142857142857,0.34375,0.265625,0.390625,0.4642857142857143,0.21428571428571427,0.32142857142857145
5,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.171875,0.140625,0.6875,0.21428571428571427,0.03571428571428571,0.75
