Phase,DD_Positive,DD_Negative,DD_Zero,DE_Positive,DE_Negative,DE_Zero,EE_Positive,EE_Negative,EE_Zero
1,0.4642857142857143,0.2857142857142857,0.25,0.328125,0.296875,0.375,0.42857142857142855,0.25,0.32142857142857145
2,0.35714285714285715,0.17857142857142858,0.4642857142857143,0.3125,0.140625,0.546875,0.35714285714285715,0.14285714285714285,0.5
3,0.5714285714285714,0.17857142857142858,0.25,0.328125,0.296875,0.375,0.42857142857142855,0.25,0.32142857142857145
4,0.5357142857142857,0.21428571428571427,0.25,0.4375,0.203125,0.359375,0.42857142857142855,0.17857142857142858,0.39285714285714285
5,0.35714285714285715,0.14285714285714285,0.5,0.125,0.125,0.75,0.39285714285714285,0.17857142857142858,0.42857142857142855
