"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0,0.20244215048965,0.224241175108942,0.355214287614782,-0.303615836209798,0.117608521423494,-0.257214898809363,-0.150256255738939,0.127264561211924,0.0936455226062924,0,-0.155381670159212,0,0
"AUS",0,0,0.189839441073891,0.331842683999736,0,0.11446634944368,-0.0809535979526965,0.154891621163252,0.290057030746551,-0.205605070028903,0,0,-0.0993850102607759,0,0.163417567368475,-0.0807504013792658
"BRA",0,0.189839441073891,0,0,-0.0716384878772285,0,0,-0.0979087186376256,-0.182015808039022,0,0.204949981034459,0,0,0,0,0
"CAN",0.20244215048965,0.331842683999736,0,0,-0.18501788287955,0,0,0.178026872753425,0,0.25505337544018,-0.300019488512002,0.132472904682209,0.563946662570376,0,-0.309863616907753,0
"CHN",0.224241175108942,0,-0.0716384878772285,-0.18501788287955,0,-0.262626673343416,0.266076776150244,0.436934467766879,0.0933657690506402,-0.154680861974337,0.114341251939454,-0.156769853207924,0.144143720865926,0.15532383070251,-0.107817767717878,-0.0996793639862087
"FRA",0.355214287614782,0.11446634944368,0,0,-0.262626673343416,0,0.983917723336877,0,0.142298956595488,-0.152820392722937,0,0,0,-0.149189589733614,-0.250723649944979,0.18151736651116
"GER",-0.303615836209798,-0.0809535979526965,0,0,0.266076776150244,0.983917723336877,0,-0.0756912446084974,-0.108958616710862,0.163019536888483,0,0,-0.0840784988526704,0.189971044961821,0.237860834047492,-0.119757183461396
"IND",0.117608521423494,0.154891621163252,-0.0979087186376256,0.178026872753425,0.436934467766879,0,-0.0756912446084974,0,0,-0.0756440421894311,0,0,-0.252180418461382,-0.0820908433684982,0.223956587423896,0.16055254924245
"JPN",-0.257214898809363,0.290057030746551,-0.182015808039022,0,0.0933657690506402,0.142298956595488,-0.108958616710862,0,0,0.388812517225113,0,0.128206708916142,0.252469546192878,-0.211702953904928,-0.17840522654597,0.207137930855101
"KOR",-0.150256255738939,-0.205605070028903,0,0.25505337544018,-0.154680861974337,-0.152820392722937,0.163019536888483,-0.0756440421894311,0.388812517225113,0,0.313231184040552,-0.257984656197306,-0.10920814611138,0,0.105869980070283,0.27577666582982
"MEX",0.127264561211924,0,0.204949981034459,-0.300019488512002,0.114341251939454,0,0,0,0,0.313231184040552,0,0.362666368199181,0.320466054710225,0,0,0
"RUS",0.0936455226062924,0,0,0.132472904682209,-0.156769853207924,0,0,0,0.128206708916142,-0.257984656197306,0.362666368199181,0,-0.0882639423460434,0,0,-0.106080684577868
"SIN",0,-0.0993850102607759,0,0.563946662570376,0.144143720865926,0,-0.0840784988526704,-0.252180418461382,0.252469546192878,-0.10920814611138,0.320466054710225,-0.0882639423460434,0,0.289152853194426,0.384748331761532,0.270218664450346
"THA",-0.155381670159212,0,0,0,0.15532383070251,-0.149189589733614,0.189971044961821,-0.0820908433684982,-0.211702953904928,0,0,0,0.289152853194426,0,-0.170535596095281,0.0752337389852959
"UK",0,0.163417567368475,0,-0.309863616907753,-0.107817767717878,-0.250723649944979,0.237860834047492,0.223956587423896,-0.17840522654597,0.105869980070283,0,0,0.384748331761532,-0.170535596095281,0,0.212186212825418
"US",0,-0.0807504013792658,0,0,-0.0996793639862087,0.18151736651116,-0.119757183461396,0.16055254924245,0.207137930855101,0.27577666582982,0,-0.106080684577868,0.270218664450346,0.0752337389852959,0.212186212825418,0
