"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0,0,0.436914011666288,0,0,0,-0.326929128220253,0,0,0,0,0,0.243299439371603,0
"AUS",0,0,0,0,0,0,0,0.306126326926739,0,0,-0.314615247046611,-0.276990598801308,0,0,0,0.394742876795907
"BRA",0,0,0,0,0,0,0,0.391185023819626,0,0.48195692387993,0.354395414067677,-0.493992973363496,-0.338262113839465,0,0,-0.2292473174426
"CAN",0,0,0,0,0,0,0,0,-0.386405301483441,0,0,0,0,0,0,0.25271720771503
"CHN",0.436914011666288,0,0,0,0,-0.214935077813211,0,0,0.314123769859695,0.219863299841293,0,-0.338455892245899,0,0.370617958726095,-0.262172032939564,0
"FRA",0,0,0,0,-0.214935077813211,0,0.990852341241901,0,0,0.240605862719765,0,0,0,0.252351494361047,0.221580639015792,0
"GER",0,0,0,0,0,0.990852341241901,0,0,0,-0.22943728569658,0,0,0,-0.218952329451032,-0.25164637953823,0
"IND",0,0.306126326926739,0.391185023819626,0,0,0,0,0,0,0,0,0.461876807399333,0.33933574362533,0,0,-0.220324201499803
"JPN",-0.326929128220253,0,0,-0.386405301483441,0.314123769859695,0,0,0,0,-0.245842295124479,-0.284464499522472,0,0.362167629498552,0,0,0.282918032776592
"KOR",0,0,0.48195692387993,0,0.219863299841293,0.240605862719765,-0.22943728569658,0,-0.245842295124479,0,0,0,0.595044982431974,0,0,0.545643116855899
"MEX",0,-0.314615247046611,0.354395414067677,0,0,0,0,0,-0.284464499522472,0,0,0,0,0,0,0
"RUS",0,-0.276990598801308,-0.493992973363496,0,-0.338455892245899,0,0,0.461876807399333,0,0,0,0,0,0.237649224367994,-0.368768230879624,0.43783239267625
"SIN",0,0,-0.338262113839465,0,0,0,0,0.33933574362533,0.362167629498552,0.595044982431974,0,0,0,0,0,0
"THA",0,0,0,0,0.370617958726095,0.252351494361047,-0.218952329451032,0,0,0,0,0.237649224367994,0,0,0,-0.392263705570625
"UK",0.243299439371603,0,0,0,-0.262172032939564,0.221580639015792,-0.25164637953823,0,0,0,0,-0.368768230879624,0,0,0,0.358112509233988
"US",0,0.394742876795907,-0.2292473174426,0.25271720771503,0,0,0,-0.220324201499803,0.282918032776592,0.545643116855899,0,0.43783239267625,0,-0.392263705570625,0.358112509233988,0
