,composite,bond,forex,stock,gold
phase 1,0.2695292771173819,0.1860722150456234,0.2732647575128405,0.23587395184950508,0.2625651707110286
phase 2,0.2654287967268066,0.24627585103673016,0.3008339690794807,0.3017618347567984,0.30712479536800663
phase 3,0.20451011981493883,0.14181201112858563,0.20386857815957887,0.20075925713752063,0.2156077347651954
phase 4,0.2067777628683728,0.19295906158287482,0.23460826003204033,0.2231517687277848,0.24130098689584914
phase 5,0.3332283430897155,0.3327408291352429,0.34489565807983313,0.41026022193282263,0.35609062424542276
