Source,Target,Type,Weight,Color
US_gold,US_stock,Directed,0.24004587557294021,"[245, 208, 1]"
US_forex,US_stock,Directed,0.5039548284410956,"[1, 1, 255]"
US_bond,US_stock,Directed,0.24147434277523855,"[255, 1, 1]"
US_gold,US_forex,Directed,0.2321632351817693,"[245, 208, 1]"
US_gold,US_bond,Directed,0.22685121712348189,"[245, 208, 1]"
US_forex,US_bond,Directed,0.12867370758568747,"[1, 1, 255]"
US_bond,BRA_bond,Undirected,0.250504830335429,"[1, 128, 1]"
BRA_gold,BRA_stock,Directed,0.05467261558601769,"[245, 208, 1]"
BRA_forex,BRA_stock,Directed,0.6674116718604902,"[1, 1, 255]"
BRA_bond,BRA_stock,Directed,0.9815215276184737,"[255, 1, 1]"
BRA_forex,BRA_gold,Directed,0.747512499822368,"[1, 1, 255]"
BRA_bond,BRA_gold,Directed,0.5698166711838724,"[255, 1, 1]"
BRA_bond,BRA_forex,Directed,0.4869980189421631,"[255, 1, 1]"
US_bond,KOR_bond,Undirected,0.242129635130777,"[1, 128, 1]"
KOR_gold,KOR_stock,Directed,0.16330347565094977,"[245, 208, 1]"
KOR_forex,KOR_stock,Directed,0.8896138983834535,"[1, 1, 255]"
KOR_bond,KOR_stock,Directed,0.10502549130865702,"[255, 1, 1]"
KOR_forex,KOR_gold,Directed,0.27918273013852446,"[1, 1, 255]"
KOR_gold,KOR_bond,Directed,6.463435709812282e-05,"[245, 208, 1]"
KOR_forex,KOR_bond,Directed,0.2561755418240751,"[1, 1, 255]"
US_bond,CAN_bond,Undirected,0.215561637914225,"[255, 165, 1]"
CAN_gold,CAN_stock,Directed,0.16580378302907928,"[245, 208, 1]"
CAN_forex,CAN_stock,Directed,0.03263549761779683,"[1, 1, 255]"
CAN_stock,CAN_bond,Directed,0.1692744516952978,"[128, 1, 128]"
CAN_gold,CAN_forex,Directed,0.36094464082784583,"[245, 208, 1]"
CAN_gold,CAN_bond,Directed,0.6357370283669701,"[245, 208, 1]"
CAN_forex,CAN_bond,Directed,0.36720133772074787,"[1, 1, 255]"
US_forex,CHN_forex,Undirected,0.580721849588376,"[1, 128, 1]"
CHN_stock,CHN_gold,Directed,0.6753713473407595,"[128, 1, 128]"
CHN_stock,CHN_forex,Directed,0.7922259031563574,"[128, 1, 128]"
CHN_stock,CHN_bond,Directed,0.44136686859427676,"[128, 1, 128]"
CHN_gold,CHN_forex,Directed,0.649538076388466,"[245, 208, 1]"
CHN_bond,CHN_gold,Directed,0.12173117681072049,"[255, 1, 1]"
CHN_bond,CHN_forex,Directed,0.0988587721098026,"[255, 1, 1]"
US_forex,GER_forex,Undirected,0.406932707908803,"[1, 128, 1]"
GER_stock,GER_gold,Directed,0.3237769513054598,"[128, 1, 128]"
GER_stock,GER_forex,Directed,0.15322765291857388,"[128, 1, 128]"
GER_stock,GER_bond,Directed,0.3271081329360553,"[128, 1, 128]"
GER_forex,GER_gold,Directed,0.7153548813593724,"[1, 1, 255]"
GER_gold,GER_bond,Directed,0.014564039675117102,"[245, 208, 1]"
GER_forex,GER_bond,Directed,0.26258814255752694,"[1, 1, 255]"
US_forex,FRA_forex,Undirected,0.380075586976127,"[255, 165, 1]"
FRA_stock,FRA_gold,Directed,0.0988465471887062,"[128, 1, 128]"
FRA_forex,FRA_stock,Directed,0.46322132225581036,"[1, 1, 255]"
FRA_stock,FRA_bond,Directed,0.03249516227331417,"[128, 1, 128]"
FRA_forex,FRA_gold,Directed,0.6453275514783006,"[1, 1, 255]"
FRA_bond,FRA_gold,Directed,0.0031299421818838657,"[255, 1, 1]"
FRA_forex,FRA_bond,Directed,0.2750978934267584,"[1, 1, 255]"
US_stock,UK_stock,Undirected,0.612540656371605,"[1, 128, 1]"
UK_stock,UK_gold,Directed,0.45315743957425303,"[128, 1, 128]"
UK_stock,UK_forex,Directed,0.4689194112340076,"[128, 1, 128]"
UK_stock,UK_bond,Directed,0.9999592800608945,"[128, 1, 128]"
UK_gold,UK_forex,Directed,0.303330879346969,"[245, 208, 1]"
UK_gold,UK_bond,Directed,0.1556287154307076,"[245, 208, 1]"
UK_forex,UK_bond,Directed,0.01630299302077863,"[1, 1, 255]"
US_stock,BRA_stock,Undirected,0.542144735953451,"[1, 128, 1]"
US_stock,CHN_stock,Undirected,0.53187558124667,"[255, 165, 1]"
US_gold,IND_gold,Undirected,0.348252149166422,"[1, 128, 1]"
IND_gold,IND_stock,Directed,0.007630663269169169,"[245, 208, 1]"
IND_forex,IND_stock,Directed,0.9002218109618129,"[1, 1, 255]"
IND_stock,IND_bond,Directed,0.004497733258323914,"[128, 1, 128]"
IND_forex,IND_gold,Directed,0.238109597089726,"[1, 1, 255]"
IND_gold,IND_bond,Directed,0.005295021113139151,"[245, 208, 1]"
IND_forex,IND_bond,Directed,0.19668317574950583,"[1, 1, 255]"
US_gold,CAN_gold,Undirected,0.344314694562515,"[1, 128, 1]"
US_gold,UK_gold,Undirected,0.256028558096214,"[255, 165, 1]"
