Source,Target,Type,Weight,Color
US_gold,US_stock,Directed,0.24788943795271035,"[245, 208, 1]"
US_forex,US_stock,Directed,0.06860656706234758,"[1, 1, 255]"
US_bond,US_stock,Directed,0.2799492454253753,"[255, 1, 1]"
US_gold,US_forex,Directed,0.8242250393258195,"[245, 208, 1]"
US_gold,US_bond,Directed,0.2671766119653196,"[245, 208, 1]"
US_bond,US_forex,Directed,0.23951902238911393,"[255, 1, 1]"
US_bond,BRA_bond,Undirected,0.19041994514916,"[255, 165, 1]"
BRA_stock,BRA_gold,Directed,0.46274662173934067,"[128, 1, 128]"
BRA_forex,BRA_stock,Directed,0.30736340355426717,"[1, 1, 255]"
BRA_bond,BRA_stock,Directed,0.6884836067057711,"[255, 1, 1]"
BRA_forex,BRA_gold,Directed,0.8950128651071594,"[1, 1, 255]"
BRA_bond,BRA_gold,Directed,0.4115120478899622,"[255, 1, 1]"
BRA_bond,BRA_forex,Directed,0.2722156469005262,"[255, 1, 1]"
US_bond,RUS_bond,Undirected,0.169337403295221,"[1, 128, 1]"
RUS_gold,RUS_stock,Directed,0.2910013379980458,"[245, 208, 1]"
RUS_forex,RUS_stock,Directed,0.2867620961978182,"[1, 1, 255]"
RUS_bond,RUS_stock,Directed,0.08254061277838286,"[255, 1, 1]"
RUS_gold,RUS_forex,Directed,0.16743127822424775,"[245, 208, 1]"
RUS_gold,RUS_bond,Directed,0.10919134010054057,"[245, 208, 1]"
RUS_forex,RUS_bond,Directed,0.14997802821729295,"[1, 1, 255]"
US_bond,MEX_bond,Undirected,0.164525680443903,"[1, 128, 1]"
MEX_stock,MEX_gold,Directed,0.13520257296662846,"[128, 1, 128]"
MEX_forex,MEX_stock,Directed,0.2955552009469701,"[1, 1, 255]"
MEX_bond,MEX_stock,Directed,0.055221691569754594,"[255, 1, 1]"
MEX_forex,MEX_gold,Directed,0.6246812631563551,"[1, 1, 255]"
MEX_bond,MEX_gold,Directed,0.317450359063295,"[255, 1, 1]"
MEX_forex,MEX_bond,Directed,0.01902753803599322,"[1, 1, 255]"
US_forex,KOR_forex,Undirected,0.27577666582982,"[1, 128, 1]"
KOR_gold,KOR_stock,Directed,0.2709756910137432,"[245, 208, 1]"
KOR_forex,KOR_stock,Directed,0.7785364511045174,"[1, 1, 255]"
KOR_bond,KOR_stock,Directed,0.34226439319398777,"[255, 1, 1]"
KOR_forex,KOR_gold,Directed,0.2194689058564065,"[1, 1, 255]"
KOR_bond,KOR_gold,Directed,0.18576365714632254,"[255, 1, 1]"
KOR_forex,KOR_bond,Directed,0.041052076567656304,"[1, 1, 255]"
US_forex,SIN_forex,Undirected,0.270218664450346,"[1, 128, 1]"
SIN_stock,SIN_gold,Directed,0.2803063649415917,"[128, 1, 128]"
SIN_stock,SIN_forex,Directed,0.19913915584042152,"[128, 1, 128]"
SIN_stock,SIN_bond,Directed,0.006969442072187845,"[128, 1, 128]"
SIN_forex,SIN_gold,Directed,0.08789463522123503,"[1, 1, 255]"
SIN_bond,SIN_gold,Directed,0.02020213729524075,"[255, 1, 1]"
SIN_bond,SIN_forex,Directed,0.006196824361294699,"[255, 1, 1]"
US_forex,UK_forex,Undirected,0.212186212825418,"[1, 128, 1]"
UK_stock,UK_gold,Directed,0.05416341777974398,"[128, 1, 128]"
UK_stock,UK_forex,Directed,0.08982155605383071,"[128, 1, 128]"
UK_stock,UK_bond,Directed,0.07090426125001795,"[128, 1, 128]"
UK_gold,UK_forex,Directed,0.7238254724969172,"[245, 208, 1]"
UK_gold,UK_bond,Directed,0.15437882337946346,"[245, 208, 1]"
UK_forex,UK_bond,Directed,0.009295852792672116,"[1, 1, 255]"
US_stock,CAN_stock,Undirected,0.299731672231507,"[1, 128, 1]"
CAN_gold,CAN_stock,Directed,0.13901176521565528,"[245, 208, 1]"
CAN_forex,CAN_stock,Directed,0.20578020074771175,"[1, 1, 255]"
CAN_stock,CAN_bond,Directed,0.14696361099297245,"[128, 1, 128]"
CAN_gold,CAN_forex,Directed,0.07728007999681619,"[245, 208, 1]"
CAN_gold,CAN_bond,Directed,0.5491099021646924,"[245, 208, 1]"
CAN_forex,CAN_bond,Directed,0.5005934762594264,"[1, 1, 255]"
US_stock,JPN_stock,Undirected,0.223866414714293,"[1, 128, 1]"
JPN_stock,JPN_gold,Directed,0.146082407071645,"[128, 1, 128]"
JPN_forex,JPN_stock,Directed,0.18296158452823796,"[1, 1, 255]"
JPN_stock,JPN_bond,Directed,0.05885012110871783,"[128, 1, 128]"
JPN_forex,JPN_gold,Directed,0.05673465675117943,"[1, 1, 255]"
JPN_gold,JPN_bond,Directed,0.0011333747296408334,"[245, 208, 1]"
JPN_forex,JPN_bond,Directed,0.090913326255829,"[1, 1, 255]"
US_stock,THA_stock,Undirected,0.197115267156001,"[1, 128, 1]"
THA_gold,THA_stock,Directed,0.03959327930805426,"[245, 208, 1]"
THA_forex,THA_stock,Directed,0.9359669749969387,"[1, 1, 255]"
THA_bond,THA_stock,Directed,0.025610275467796928,"[255, 1, 1]"
THA_forex,THA_gold,Directed,0.7035685503459634,"[1, 1, 255]"
THA_bond,THA_gold,Directed,0.03892618074217419,"[255, 1, 1]"
THA_forex,THA_bond,Directed,0.21157399960395512,"[1, 1, 255]"
US_gold,ARG_gold,Undirected,0.204965135631428,"[255, 165, 1]"
ARG_gold,ARG_stock,Directed,0.015691778506914382,"[245, 208, 1]"
ARG_forex,ARG_stock,Directed,0.014888856539556884,"[1, 1, 255]"
ARG_bond,ARG_stock,Directed,0.005600315564729162,"[255, 1, 1]"
ARG_forex,ARG_gold,Directed,0.056669849036544484,"[1, 1, 255]"
ARG_bond,ARG_gold,Directed,0.006118050837724352,"[255, 1, 1]"
ARG_bond,ARG_forex,Directed,0.020770541263847607,"[255, 1, 1]"
US_gold,UK_gold,Undirected,0.138040337454006,"[255, 165, 1]"
US_gold,CAN_gold,Undirected,0.135914741043454,"[1, 128, 1]"
