Id,Size,Color,Label
US_bond,0.23740162808539772,"[255, 1, 1]",B
US_forex,0.0758339334313204,"[1, 1, 255]",F
US_stock,0.0008345465921402328,"[128, 1, 128]",S
US_gold,0.4934687939379292,"[245, 208, 1]",G
FRA_bond,0.045728246215797144,"[255, 1, 1]",B
FRA_forex,0.12595914089713148,"[1, 1, 255]",F
FRA_stock,0.1269892885704287,"[128, 1, 128]",S
FRA_gold,0.045748478966932016,"[245, 208, 1]",G
IND_bond,0.036305933521220385,"[255, 1, 1]",B
IND_forex,0.42919960045556815,"[1, 1, 255]",F
IND_stock,0.03192297247382461,"[128, 1, 128]",S
IND_gold,0.03969908536852833,"[245, 208, 1]",G
RUS_bond,0.1353894558103217,"[255, 1, 1]",B
RUS_forex,0.24523202107614772,"[1, 1, 255]",F
RUS_stock,0.014836597192970518,"[128, 1, 128]",S
RUS_gold,0.2109192102147143,"[245, 208, 1]",G
KOR_bond,0.09323864116046769,"[255, 1, 1]",B
KOR_forex,0.032870886558833676,"[1, 1, 255]",F
KOR_stock,0.03200104360591184,"[128, 1, 128]",S
KOR_gold,0.0920276574489322,"[245, 208, 1]",G
CHN_bond,0.028693605210563848,"[255, 1, 1]",B
CHN_forex,0.017093615842020477,"[1, 1, 255]",F
CHN_stock,0.15137565344021806,"[128, 1, 128]",S
CHN_gold,0.02136075245563128,"[245, 208, 1]",G
UK_bond,3.7341659196402725e-05,"[255, 1, 1]",B
UK_forex,0.0017430982625848918,"[1, 1, 255]",F
UK_stock,0.0035802950080007765,"[128, 1, 128]",S
UK_gold,0.03921530542459783,"[245, 208, 1]",G
CAN_bond,0.00025329745697315,"[255, 1, 1]",B
CAN_forex,0.10379466381730194,"[1, 1, 255]",F
CAN_stock,0.07213745420523358,"[128, 1, 128]",S
CAN_gold,0.18747315880243048,"[245, 208, 1]",G
ARG_bond,0.01688147319382485,"[255, 1, 1]",B
ARG_forex,0.03515458824575056,"[1, 1, 255]",F
ARG_stock,0.027292340230884442,"[128, 1, 128]",S
ARG_gold,0.06662964354668818,"[245, 208, 1]",G
THA_bond,0.0163495229951571,"[255, 1, 1]",B
THA_forex,0.30303425613016965,"[1, 1, 255]",F
THA_stock,0.03402623061664638,"[128, 1, 128]",S
THA_gold,0.07108474575768557,"[245, 208, 1]",G
