Id,Size,Color,Label
US_bond,0.2914479593909773,"[255, 1, 1]",B
US_forex,0.11342164131349314,"[1, 1, 255]",F
US_stock,0.018938689323457873,"[128, 1, 128]",S
US_gold,0.5421541363288929,"[245, 208, 1]",G
BRA_bond,0.26353909217678145,"[255, 1, 1]",B
BRA_forex,0.2904291855893353,"[1, 1, 255]",F
BRA_stock,0.18143324910803937,"[128, 1, 128]",S
BRA_gold,0.02944460354314178,"[245, 208, 1]",G
RUS_bond,0.05715943638253547,"[255, 1, 1]",B
RUS_forex,0.27685190261689424,"[1, 1, 255]",F
RUS_stock,0.007264336069203575,"[128, 1, 128]",S
RUS_gold,0.29323082802629274,"[245, 208, 1]",G
MEX_bond,0.2800722117322154,"[255, 1, 1]",B
MEX_forex,0.5260185865386677,"[1, 1, 255]",F
MEX_stock,0.24721861146222693,"[128, 1, 128]",S
MEX_gold,0.16817545814653112,"[245, 208, 1]",G
KOR_bond,0.14836932794190175,"[255, 1, 1]",B
KOR_forex,0.22120355484127802,"[1, 1, 255]",F
KOR_stock,0.06368640898915588,"[128, 1, 128]",S
KOR_gold,0.12424249919499122,"[245, 208, 1]",G
SIN_bond,0.016740772763969868,"[255, 1, 1]",B
SIN_forex,0.11154480682061314,"[1, 1, 255]",F
SIN_stock,0.15505172811971307,"[128, 1, 128]",S
SIN_gold,0.020092046325848125,"[245, 208, 1]",G
UK_bond,0.025499262438632757,"[255, 1, 1]",B
UK_forex,0.02894167995788758,"[1, 1, 255]",F
UK_stock,0.04336857046314893,"[128, 1, 128]",S
UK_gold,0.07967722039490031,"[245, 208, 1]",G
CAN_bond,0.03121856422330635,"[255, 1, 1]",B
CAN_forex,0.20412728525475238,"[1, 1, 255]",F
CAN_stock,0.11053152361329338,"[128, 1, 128]",S
CAN_gold,0.1627791836899267,"[245, 208, 1]",G
JPN_bond,0.010886481491983655,"[255, 1, 1]",B
JPN_forex,0.19879886967295532,"[1, 1, 255]",F
JPN_stock,0.17809930173648972,"[128, 1, 128]",S
JPN_gold,0.011686528544334147,"[245, 208, 1]",G
THA_bond,0.030685626394459327,"[255, 1, 1]",B
THA_forex,0.3127650764909855,"[1, 1, 255]",F
THA_stock,0.014870861934703102,"[128, 1, 128]",S
THA_gold,0.03563259956425458,"[245, 208, 1]",G
ARG_bond,0.018950793480034037,"[255, 1, 1]",B
ARG_forex,0.18080507467665427,"[1, 1, 255]",F
ARG_stock,0.016739765729706497,"[128, 1, 128]",S
ARG_gold,0.1683550013789207,"[245, 208, 1]",G
