Id,Size,Color,Label
US_bond,0.24037705985407495,"[255, 1, 1]",B
US_forex,0.06909361394775146,"[1, 1, 255]",F
US_stock,0.002042167289592922,"[128, 1, 128]",S
US_gold,0.4485967699957929,"[245, 208, 1]",G
BRA_bond,0.2536815628214808,"[255, 1, 1]",B
BRA_forex,0.2119950556774046,"[1, 1, 255]",F
BRA_stock,0.2775172939845513,"[128, 1, 128]",S
BRA_gold,0.0526802044103567,"[245, 208, 1]",G
KOR_bond,0.16610877535409016,"[255, 1, 1]",B
KOR_forex,0.0935111557317539,"[1, 1, 255]",F
KOR_stock,0.21796383090581614,"[128, 1, 128]",S
KOR_gold,0.19769920153830106,"[245, 208, 1]",G
FRA_bond,0.01669211403443436,"[255, 1, 1]",B
FRA_forex,0.025845938608932723,"[1, 1, 255]",F
FRA_stock,0.13208494670216836,"[128, 1, 128]",S
FRA_gold,0.04657461528953427,"[245, 208, 1]",G
AUS_bond,0.1969069864760276,"[255, 1, 1]",B
AUS_forex,0.03395110914809102,"[1, 1, 255]",F
AUS_stock,0.16721921469667003,"[128, 1, 128]",S
AUS_gold,0.3780656549128345,"[245, 208, 1]",G
JPN_bond,0.014239593260578035,"[255, 1, 1]",B
JPN_forex,0.07553946316689414,"[1, 1, 255]",F
JPN_stock,0.2817021493244439,"[128, 1, 128]",S
JPN_gold,0.034710745259010536,"[245, 208, 1]",G
CAN_bond,0.10826278461178182,"[255, 1, 1]",B
CAN_forex,0.13956120378258638,"[1, 1, 255]",F
CAN_stock,0.18330439249919223,"[128, 1, 128]",S
CAN_gold,0.3923024884839361,"[245, 208, 1]",G
THA_bond,0.13759886286434522,"[255, 1, 1]",B
THA_forex,0.3169152682952515,"[1, 1, 255]",F
THA_stock,0.06726597269373322,"[128, 1, 128]",S
THA_gold,0.14924371447915766,"[245, 208, 1]",G
IND_bond,0.0798500876086678,"[255, 1, 1]",B
IND_forex,0.41890706377920234,"[1, 1, 255]",F
IND_stock,0.06969373968870267,"[128, 1, 128]",S
IND_gold,0.02487977816839503,"[245, 208, 1]",G
UK_bond,0.15294516822332882,"[255, 1, 1]",B
UK_forex,0.019858989463258515,"[1, 1, 255]",F
UK_stock,0.14285793750426692,"[128, 1, 128]",S
UK_gold,0.06824133280647883,"[245, 208, 1]",G
