Source,Target,Type,Weight,Color
US_gold,US_stock,Directed,0.33240693354250644,"[245, 208, 1]"
US_forex,US_stock,Directed,0.05265200309002935,"[1, 1, 255]"
US_bond,US_stock,Directed,0.16144092839109137,"[255, 1, 1]"
US_gold,US_forex,Directed,0.8574982220311247,"[245, 208, 1]"
US_gold,US_bond,Directed,0.2625632750109407,"[245, 208, 1]"
US_bond,US_forex,Directed,0.31368901657704995,"[255, 1, 1]"
US_bond,FRA_bond,Undirected,0.208834837208967,"[1, 128, 1]"
FRA_stock,FRA_gold,Directed,0.48904644619494475,"[128, 1, 128]"
FRA_stock,FRA_forex,Directed,0.1033403971299015,"[128, 1, 128]"
FRA_stock,FRA_bond,Directed,0.08096790004440577,"[128, 1, 128]"
FRA_forex,FRA_gold,Directed,0.43664878860309214,"[1, 1, 255]"
FRA_bond,FRA_gold,Directed,0.14131152221197324,"[255, 1, 1]"
FRA_forex,FRA_bond,Directed,0.030062829975275374,"[1, 1, 255]"
US_bond,IND_bond,Undirected,0.182850539277895,"[1, 128, 1]"
IND_gold,IND_stock,Directed,0.019174545387038153,"[245, 208, 1]"
IND_forex,IND_stock,Directed,0.9282040882264778,"[1, 1, 255]"
IND_bond,IND_stock,Directed,0.027067313147604525,"[255, 1, 1]"
IND_forex,IND_gold,Directed,0.3866915721004281,"[1, 1, 255]"
IND_bond,IND_gold,Directed,0.027892022048823104,"[255, 1, 1]"
IND_forex,IND_bond,Directed,0.11743211498113064,"[1, 1, 255]"
US_bond,RUS_bond,Undirected,0.159366891564165,"[1, 128, 1]"
RUS_gold,RUS_stock,Directed,0.3448827616545562,"[245, 208, 1]"
RUS_forex,RUS_stock,Directed,0.5209695290731773,"[1, 1, 255]"
RUS_bond,RUS_stock,Directed,0.3266773676221989,"[255, 1, 1]"
RUS_forex,RUS_gold,Directed,0.027587563089334743,"[1, 1, 255]"
RUS_bond,RUS_gold,Directed,0.011900936985942745,"[255, 1, 1]"
RUS_bond,RUS_forex,Directed,0.0733281107756566,"[255, 1, 1]"
US_forex,RUS_forex,Undirected,0.38393693521224,"[1, 128, 1]"
US_forex,KOR_forex,Undirected,0.372241766344387,"[1, 128, 1]"
KOR_gold,KOR_stock,Directed,0.6254666427356894,"[245, 208, 1]"
KOR_stock,KOR_forex,Directed,0.058117848797824834,"[128, 1, 128]"
KOR_bond,KOR_stock,Directed,0.6436660488802068,"[255, 1, 1]"
KOR_gold,KOR_forex,Directed,0.7568213094994333,"[245, 208, 1]"
KOR_bond,KOR_gold,Directed,0.1774847552053711,"[255, 1, 1]"
KOR_bond,KOR_forex,Directed,0.62347807985817,"[255, 1, 1]"
US_forex,CHN_forex,Undirected,0.273394953663361,"[255, 165, 1]"
CHN_stock,CHN_gold,Directed,0.19291277592889292,"[128, 1, 128]"
CHN_stock,CHN_forex,Directed,0.9193033501589392,"[128, 1, 128]"
CHN_stock,CHN_bond,Directed,0.06525023188674103,"[128, 1, 128]"
CHN_gold,CHN_forex,Directed,0.051878939119150494,"[245, 208, 1]"
CHN_bond,CHN_gold,Directed,0.022928604365208362,"[255, 1, 1]"
CHN_bond,CHN_forex,Directed,0.07825940960873004,"[255, 1, 1]"
US_stock,UK_stock,Undirected,0.607307610398524,"[1, 128, 1]"
UK_gold,UK_stock,Directed,0.46591105789953763,"[245, 208, 1]"
UK_stock,UK_forex,Directed,0.03099140952559033,"[128, 1, 128]"
UK_stock,UK_bond,Directed,0.06744726029121795,"[128, 1, 128]"
UK_gold,UK_forex,Directed,0.9582841872641902,"[245, 208, 1]"
UK_gold,UK_bond,Directed,0.28932565314290565,"[245, 208, 1]"
UK_forex,UK_bond,Directed,0.014444273993046479,"[1, 1, 255]"
US_stock,CAN_stock,Undirected,0.465376200532443,"[1, 128, 1]"
CAN_gold,CAN_stock,Directed,0.36221686286137345,"[245, 208, 1]"
CAN_stock,CAN_forex,Directed,0.01782275282653656,"[128, 1, 128]"
CAN_stock,CAN_bond,Directed,0.15551932492696605,"[128, 1, 128]"
CAN_gold,CAN_forex,Directed,0.44158383654444266,"[245, 208, 1]"
CAN_gold,CAN_bond,Directed,0.837419877174593,"[245, 208, 1]"
CAN_forex,CAN_bond,Directed,0.41544681883900153,"[1, 1, 255]"
US_stock,ARG_stock,Undirected,0.373677404510258,"[1, 128, 1]"
ARG_gold,ARG_stock,Directed,0.0837781763665073,"[245, 208, 1]"
ARG_stock,ARG_forex,Directed,0.1310856273069747,"[128, 1, 128]"
ARG_bond,ARG_stock,Directed,0.014613205538967895,"[255, 1, 1]"
ARG_gold,ARG_forex,Directed,0.23134276405644005,"[245, 208, 1]"
ARG_bond,ARG_gold,Directed,0.03953570711722032,"[255, 1, 1]"
ARG_bond,ARG_forex,Directed,0.22396289845839423,"[255, 1, 1]"
US_gold,CAN_gold,Undirected,0.349324107638097,"[255, 165, 1]"
US_gold,THA_gold,Undirected,0.300840834694138,"[1, 128, 1]"
THA_gold,THA_stock,Directed,0.07724259560416055,"[245, 208, 1]"
THA_forex,THA_stock,Directed,0.8665643969048905,"[1, 1, 255]"
THA_stock,THA_bond,Directed,0.0012683731809193955,"[128, 1, 128]"
THA_forex,THA_gold,Directed,0.34286605952986876,"[1, 1, 255]"
THA_gold,THA_bond,Directed,0.03185464202318895,"[245, 208, 1]"
THA_forex,THA_bond,Directed,0.1800726101279672,"[1, 1, 255]"
US_gold,UK_gold,Undirected,0.24475718954841,"[255, 165, 1]"
