Id,Size,Color,Label
US_bond,0.28776063483325354,"[255, 1, 1]",B
US_forex,0.516040754664929,"[1, 1, 255]",F
US_stock,0.048264111906434544,"[128, 1, 128]",S
US_gold,0.4823571067224005,"[245, 208, 1]",G
BRA_bond,0.3217295087874351,"[255, 1, 1]",B
BRA_forex,0.25030571135158153,"[1, 1, 255]",F
BRA_stock,0.00959968635676463,"[128, 1, 128]",S
BRA_gold,0.027004276845179923,"[245, 208, 1]",G
KOR_bond,0.10465322993397048,"[255, 1, 1]",B
KOR_forex,0.4178012195204734,"[1, 1, 255]",F
KOR_stock,0.075955550214305,"[128, 1, 128]",S
KOR_gold,0.12028454768757477,"[245, 208, 1]",G
CAN_bond,0.08534958110906564,"[255, 1, 1]",B
CAN_forex,0.3187552186567133,"[1, 1, 255]",F
CAN_stock,0.19378266375121675,"[128, 1, 128]",S
CAN_gold,0.3793465760056851,"[245, 208, 1]",G
CHN_bond,0.02461144070830231,"[255, 1, 1]",B
CHN_forex,0.013527301743938977,"[1, 1, 255]",F
CHN_stock,0.06793825099308433,"[128, 1, 128]",S
CHN_gold,0.04288408802269643,"[245, 208, 1]",G
GER_bond,0.028642771397522013,"[255, 1, 1]",B
GER_forex,0.46506783426602555,"[1, 1, 255]",F
GER_stock,0.41244177256875253,"[128, 1, 128]",S
GER_gold,0.055617688706124074,"[245, 208, 1]",G
FRA_bond,0.030486665288527066,"[255, 1, 1]",B
FRA_forex,0.5567536589543169,"[1, 1, 255]",F
FRA_stock,0.1944866417572092,"[128, 1, 128]",S
FRA_gold,0.05366088920768419,"[245, 208, 1]",G
UK_bond,6.899612506879872e-06,"[255, 1, 1]",B
UK_forex,0.0030869596024487873,"[1, 1, 255]",F
UK_stock,0.12402975083234086,"[128, 1, 128]",S
UK_gold,0.039212986857317826,"[245, 208, 1]",G
IND_bond,0.005815121230898864,"[255, 1, 1]",B
IND_forex,0.4201413792875799,"[1, 1, 255]",F
IND_stock,0.04740650479631226,"[128, 1, 128]",S
IND_gold,0.03366999567198651,"[245, 208, 1]",G
