"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0,0,-0.330018816939266,0,-0.160387702154464,0.128825723733936,-0.111128271763966,0,0,0,-0.150691516812732,-0.199061473382208,0,0.373677404510258
"AUS",0,0,0.135678076477428,0.188109917698266,0,0.386947561507384,-0.130605145275215,-0.172875259363871,0.114285317643981,0,-0.113144821576914,-0.112608225036413,0,0.257405737914711,0,0
"BRA",0,0.135678076477428,0,-0.125977551085597,0.409321493250867,0,0,-0.258654657245936,0.555966926396525,-0.177825853857049,-0.152154928918481,-0.370547045428939,0,0,0,-0.174948530981464
"CAN",0,0.188109917698266,-0.125977551085597,0,0.173268764937161,-0.174655087681419,0,0.117772406171791,0.201496138230246,0.174566401761075,-0.145008644642209,-0.115710879495515,0,0,0,0.465376200532443
"CHN",-0.330018816939266,0,0.409321493250867,0.173268764937161,0,0.153313155683608,0,0.267901820567244,-0.664629968431028,0.282996200287091,0.119311147473618,0.345366515445449,-0.156755138448506,0,-0.219975273966827,0.336347136399127
"FRA",0,0.386947561507384,0,-0.174655087681419,0.153313155683608,0,0.792637517688044,0,0,-0.16485380122602,0,0,0,0,0,0
"GER",-0.160387702154464,-0.130605145275215,0,0,0,0.792637517688044,0,0,0,0.242799945427485,0,0.222056129011876,0,0,0,0
"IND",0.128825723733936,-0.172875259363871,-0.258654657245936,0.117772406171791,0.267901820567244,0,0,0,0.197336773360089,0,0,-0.201870742719035,0.281505964017857,0.137383320690429,0,-0.234318615569042
"JPN",-0.111128271763966,0.114285317643981,0.555966926396525,0.201496138230246,-0.664629968431028,0,0,0.197336773360089,0,0,0.197650174276008,0.371784781247058,0,0,-0.151942377781846,0.243279478279701
"KOR",0,0,-0.177825853857049,0.174566401761075,0.282996200287092,-0.16485380122602,0.242799945427485,0,0,0,0,-0.11019135175346,0,0.370268568286785,0.145642226420898,-0.11866944075907
"MEX",0,-0.113144821576914,-0.152154928918481,-0.145008644642209,0.119311147473618,0,0,0,0.197650174276008,0,0,0,0,-0.129456396994829,0,0
"RUS",0,-0.112608225036413,-0.370547045428939,-0.115710879495515,0.345366515445449,0,0.222056129011876,-0.201870742719035,0.371784781247059,-0.11019135175346,0,0,0,0,0,-0.126812190266257
"SIN",-0.150691516812732,0,0,0,-0.156755138448506,0,0,0.281505964017857,0,0,0,0,0,0.171118769384773,0,0
"THA",-0.199061473382208,0.257405737914711,0,0,0,0,0,0.137383320690429,0,0.370268568286785,-0.129456396994829,0,0.171118769384773,0,0,0
"UK",0,0,0,0,-0.219975273966827,0,0,0,-0.151942377781846,0.145642226420898,0,0,0,0,0,0.607307610398524
"US",0.373677404510258,0,-0.174948530981464,0.465376200532443,0.336347136399127,0,0,-0.234318615569042,0.243279478279701,-0.11866944075907,0,-0.126812190266257,0,0,0.607307610398524,0
