"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0.0882056284294471,-0.105661672658013,-0.186163721040633,0.342026606458759,0,0.0846909192689034,-0.219874808249056,-0.129251985813513,0.329045511222078,0,-0.0974592531702891,0,0.178065024570301,0.15747689601755,0
"AUS",0.088205628429447,0,0.336765740971087,0.442247567079476,-0.201608785707565,-0.131289273841374,0.106182551003162,0.120920142068488,0.404584572137064,-0.137263224938886,0.242604703026181,0,0.174780749063133,-0.272806906729576,0,0
"BRA",-0.105661672658013,0.336765740971087,0,-0.145445529424033,-0.220481898383191,0,0,0,-0.331817504733391,0.16480387927419,-0.16744717737266,0,-0.135838002145256,0,0,0.133453322414742
"CAN",-0.186163721040633,0.442247567079476,-0.145445529424033,0,0.12143738346955,0.145536955504086,0,-0.0832992822941113,0,0.322220265263544,0,0,0,0.277418165230793,0.601480703918763,0.299731672231507
"CHN",0.342026606458759,-0.201608785707565,-0.220481898383191,0.12143738346955,0,-0.239878624846837,0.0787564619800739,0.422212225195277,0.114301939702946,-0.181565477876457,0,0,0.165353440309119,-0.241320790151417,-0.234523252424559,0
"FRA",0,-0.131289273841374,0,0.145536955504086,-0.239878624846837,0,0.62757039068902,0.0815446991116312,0,-0.088859825737244,0,0,0.115993513169638,-0.0868881818080556,-0.171547292469147,0
"GER",0.0846909192689034,0.106182551003162,0,0,0.0787564619800739,0.62757039068902,0,0,0,0.0800116080798731,0,0.100260520628125,0,0.0759041613495938,0.376598062211638,0
"IND",-0.219874808249056,0.120920142068488,0,-0.0832992822941113,0.422212225195277,0.0815446991116312,0,0,0,0.354686656888409,0,0,-0.0959078372451342,0,0.107309059306105,0.138197245519196
"JPN",-0.129251985813513,0.404584572137064,-0.331817504733391,0,0.114301939702946,0,0,0,0,0.379100986434861,0,0,0,0.0845300793785143,0,0.223866414714293
"KOR",0.329045511222078,-0.137263224938886,0.16480387927419,0.322220265263544,-0.181565477876457,-0.088859825737244,0.0800116080798731,0.354686656888409,0.379100986434861,0,0,0,0.212304491946075,-0.10980652617971,-0.36773970064852,-0.153251010394429
"MEX",0,0.242604703026181,-0.16744717737266,0,0,0,0,0,0,0,0,0,0,0.0787477283730142,0,0
"RUS",-0.0974592531702891,0,0,0,0,0,0.100260520628125,0,0,0,0,0,0,0.0876424962610711,0,0
"SIN",0,0.174780749063133,-0.135838002145256,0,0.165353440309119,0.115993513169638,0,-0.0959078372451342,0,0.212304491946075,0,0,0,0.227451705508078,0.157700267495052,-0.103331327297573
"THA",0.178065024570301,-0.272806906729576,0,0.277418165230793,-0.241320790151417,-0.0868881818080556,0.0759041613495938,0,0.0845300793785143,-0.10980652617971,0.0787477283730142,0.0876424962610711,0.227451705508078,0,-0.25349926029045,0.197115267156001
"UK",0.15747689601755,0,0,0.601480703918763,-0.234523252424559,-0.171547292469147,0.376598062211638,0.107309059306105,0,-0.36773970064852,0,0,0.157700267495052,-0.25349926029045,0,0
"US",0,0,0.133453322414742,0.299731672231507,0,0,0,0.138197245519196,0.223866414714293,-0.153251010394429,0,0,-0.103331327297573,0.197115267156001,0,0
