"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,-0.300115711540643,0,0,-0.167398374416658,0,0,-0.215886169020018,0.476840236081435,0,0.164534129598441,0.162587210102816,0.213733244723103,0.336185675642451,0,-0.164695278293333
"AUS",-0.300115711540643,0,-0.183134300267167,0.169245592504289,0,0,0,0,0,0.454983602819244,0,0.165956509481841,0,0.236544395968106,0,0
"BRA",0,-0.183134300267167,0,0.326821774806636,0,0,0,0.225468587363219,-0.153167526139528,0.294813333642065,0,0,0.19184640599769,0,-0.41145137755937,0.26976593082249
"CAN",0,0.169245592504289,0.326821774806636,0,-0.16589891137466,0.400644808846652,-0.362945296987037,0,0.30843487260375,0,0.477483925869274,0,-0.345278347988389,0,0.238223254846255,0
"CHN",-0.167398374416658,0,0,-0.16589891137466,0,0,0,0,0.214092423189735,0,-0.186654953779475,0.285962858694566,0,0,0,0
"FRA",0,0,0,0.400644808846652,0,0,0.839936580154163,0,0.171179928198561,0,0,0,0,0,-0.312903192518855,-0.341359224036958
"GER",0,0,0,-0.362945296987037,0,0.839936580154163,0,0.335338989957026,0,0,0,0,-0.186354463769742,0,0.16847418178513,0.283814061055142
"IND",-0.215886169020018,0,0.225468587363219,0,0,0,0.335338989957026,0,0,0.220149986505804,0.238823423359445,0.20187020258726,0.179224237668476,0.234449032051375,0.161103232645918,0
"JPN",0.476840236081435,0,-0.153167526139528,0.30843487260375,0.214092423189735,0.171179928198561,0,0,0,0.257942971875574,-0.203891261163447,0.292301084845509,0.190519161143479,0,0,0.275544822037422
"KOR",0,0.454983602819244,0.294813333642065,0,0,0,0,0.220149986505804,0.257942971875574,0,0,0,0.287452353267698,-0.258234527138407,0.397390882566153,0.19286598628271
"MEX",0.164534129598441,0,0,0.477483925869274,-0.186654953779475,0,0,0.238823423359445,-0.203891261163447,0,0,0,0,0,0,0.160626423328019
"RUS",0.162587210102816,0.165956509481841,0,0,0.285962858694566,0,0,0.20187020258726,0.292301084845509,0,0,0,-0.16297891823435,0,0,-0.189669236780292
"SIN",0.213733244723103,0,0.19184640599769,-0.345278347988389,0,0,-0.186354463769742,0.179224237668476,0.190519161143479,0.287452353267698,0,-0.16297891823435,0,0,0,0
"THA",0.336185675642451,0.236544395968106,0,0,0,0,0,0.234449032051375,0,-0.258234527138407,0,0,0,0,0.379676824227527,0
"UK",0,0,-0.41145137755937,0.238223254846255,0,-0.312903192518855,0.16847418178513,0.161103232645918,0,0.397390882566153,0,0,0,0.379676824227527,0,0
"US",-0.164695278293333,0,0.26976593082249,0,0,-0.341359224036958,0.283814061055142,0,0.275544822037422,0.19286598628271,0.160626423328019,-0.189669236780292,0,0,0,0
