"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0.227739231118769,0,0,0,0,0.528886548961819,-0.381971765624911,0.282954991941773,0.203940771092052,-0.27260060240392,0.229858381740846,0.400921667212488,0,0
"AUS",0,0,0,0.503147162845012,-0.475512972088347,0,0,0,0.384193462404819,0.455939164979018,-0.236205075077753,-0.267179121911448,0,-0.215942213599839,0,0
"BRA",0.227739231118769,0,0,0,0.22408377696656,0,0,0.24623141553826,0,0,0.213851149605922,0,0,0,0,0
"CAN",0,0.503147162845012,0,0,0,0,0.223113842008685,0,-0.308576569860051,0,0.234942967379296,-0.25654387193315,0,0,0,0.220702640588577
"CHN",0,-0.475512972088347,0.22408377696656,0,0,0,0,0,0,0.265583969448258,-0.259459003496064,-0.568136014453857,0,0,0,0
"FRA",0,0,0,0,0,0,0.895552833902907,0,-0.393008047637721,0,0.261707633778707,0,0,0,0.284302389910879,0
"GER",0,0,0,0.223113842008685,0,0.895552833902907,0,0.296092154036479,0.478123866558972,0,0,0,0.274721317589191,0,-0.252308969930421,0
"IND",0.528886548961819,0,0.24623141553826,0,0,0,0.296092154036479,0,0,-0.462731558863594,0,0.465745299921633,0,-0.257720990921991,0.388102749035004,0
"JPN",-0.381971765624911,0.384193462404819,0,-0.308576569860051,0,-0.393008047637721,0.478123866558972,0,0,0,0,0,0,0,0.262979819967766,-0.214284321912627
"KOR",0.282954991941773,0.455939164979018,0,0,0.265583969448258,0,0,-0.462731558863594,0,0,0,0.411759856380835,0,0,0.324667268588276,0.400402654368178
"MEX",0.203940771092052,-0.236205075077753,0.213851149605922,0.234942967379296,-0.259459003496064,0.261707633778707,0,0,0,0,0,0,0,0,0,-0.396088353279515
"RUS",-0.27260060240392,-0.267179121911448,0,-0.25654387193315,-0.568136014453856,0,0,0.465745299921633,0,0.411759856380835,0,0,0,0,-0.287522538976277,0
"SIN",0.229858381740846,0,0,0,0,0,0.274721317589191,0,0,0,0,0,0,0,0,0.232462802284441
"THA",0.400921667212488,-0.215942213599839,0,0,0,0,0,-0.257720990921991,0,0,0,0,0,0,0,0
"UK",0,0,0,0,0,0.284302389910879,-0.252308969930421,0.388102749035004,0.262979819967766,0.324667268588276,0,-0.287522538976277,0,0,0,0
"US",0,0,0,0.220702640588577,0,0,0,0,-0.214284321912627,0.400402654368178,-0.396088353279515,0,0.232462802284441,0,0,0
