"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0.287755801803903,0.114604824214497,0,0.175463049139623,0.168510879220776,-0.162111278889447,-0.0955626207765499,-0.124244926473667,0,0.382936088382632,0.103430284850726,0.329046515495302,-0.280077089531869,-0.225322263780594,0
"AUS",0.287755801803903,0,0,0.392154844526476,0,-0.182469270569314,0.123771159744112,0,0,0.125560888834436,-0.314857299133938,0.228102442704704,0,0,0,0
"BRA",0.114604824214497,0,0,0,0,0,-0.123577587043804,0.394859677944337,0.221529178782675,0.308551671502454,0.100484702630004,-0.25464217017818,0.205838466179625,-0.189873903416074,0,0
"CAN",0,0.392154844526476,0,0,0,0.183586572339991,0,-0.215270073172753,-0.133051233000203,0,-0.12100452939239,0.189614225073707,0,0.315892689689123,0.203857781872443,0.364967491523689
"CHN",0.175463049139623,0,0,0,0,-0.178059382994168,0.152185711073993,0,0,0.25783178073233,0,-0.164924399267349,0,-0.257670425507699,0,0
"FRA",0.168510879220776,-0.182469270569314,0,0.183586572339991,-0.178059382994168,0,0.884034747210866,0.236747370188518,0,-0.123143571860726,0,0,0,0,0,0
"GER",-0.162111278889447,0.123771159744112,-0.123577587043804,0,0.152185711073993,0.884034747210866,0,0,0.336911157019376,0,0,0,0.105555040921106,0,0,0
"IND",-0.0955626207765499,0,0.394859677944337,-0.215270073172753,0,0.236747370188518,0,0,-0.370017869928231,0.267085860239866,0,0,0,-0.0972293810163539,0.388432634809735,0.261516254379806
"JPN",-0.124244926473667,0,0.221529178782675,-0.133051233000203,0,0,0.336911157019376,-0.370017869928231,0,0.253407222740812,0,0,0,0,0.211227893379093,0
"KOR",0,0.125560888834436,0.308551671502454,0,0.25783178073233,-0.123143571860726,0,0.267085860239866,0.253407222740812,0,0,0.586912799496998,0,0.464427767725316,0,-0.214490031022795
"MEX",0.382936088382632,-0.314857299133938,0.100484702630004,-0.12100452939239,0,0,0,0,0,0,0,0.234747551862365,0.232624859781682,0.624506594441168,0.112158251643977,0
"RUS",0.103430284850726,0.228102442704704,-0.25464217017818,0.189614225073707,-0.164924399267349,0,0,0,0,0.586912799496998,0.234747551862365,0,0.10955861533769,-0.303133421623248,0.109522482669869,0.194243015997275
"SIN",0.329046515495302,0,0.205838466179625,0,0,0,0.105555040921106,0,0,0,0.232624859781682,0.10955861533769,0,0,0,0
"THA",-0.280077089531869,0,-0.189873903416074,0.315892689689123,-0.257670425507699,0,0,-0.0972293810163539,0,0.464427767725316,0.624506594441168,-0.303133421623248,0,0,-0.147158756195983,0
"UK",-0.225322263780594,0,0,0.203857781872443,0,0,0,0.388432634809735,0.211227893379093,0,0.112158251643977,0.10952248266987,0,-0.147158756195983,0,-0.221214828451929
"US",0,0,0,0.364967491523689,0,0,0,0.261516254379806,0,-0.214490031022795,0,0.194243015997275,0,0,-0.221214828451929,0
