date,ARG,AUS,BRA,CAN,CHN,FRA,GER,IND,JPN,KOR,MEX,RUS,SIN,THA,UK,US
2013-01-03,0.021980621154333503,0.3159063765343406,0.011648545203767301,0.3540406796097234,,0.0618013514801473,0.0534146085854994,0.0044369594955277,,0.1356496791343746,0.028036272757387598,,0.0037579059150121,0.034158747511971,0.0248695825556156,0.3703030994051628
2013-01-04,0.0161639656312989,0.3653796597764702,0.0056458977553946995,0.3506482010431543,,0.0413725607288942,0.043019516449892,0.0018251694465713,,0.11689266032877951,0.0179102316723996,,0.0032241314718792,0.0333795274628431,0.0196519149047893,0.44787162765479704
2013-01-07,0.0138727153016251,0.3311035766219027,0.0033429619007564002,0.369611182758142,0.002979572763414861,0.0331683442194806,,0.0008701550274088,0.0147580785017637,0.104628539937064,0.0157296434055879,,0.0026561566449165,0.041522102964925804,0.0170994109512606,0.42782418816442747
2013-01-08,0.0123520353080127,0.36078181081702876,0.0026488106669451,0.3687041728601429,0.0051799095416615,0.0273830768680582,0.0587075385652864,0.0007668345807988,0.0150173952955505,0.1029593299423996,0.0121467746951698,,0.0023507649834629,0.039530316385802296,0.013902913571334899,0.41498335421641164
2013-01-09,0.012924409905364899,0.3777370965841052,0.0023534164612127,0.3709320813675352,0.0024660558954789974,0.0368642860661315,0.0662596870013936,0.0009703441990798,0.0153709936117066,0.1071607206013078,0.0093989295167154,,0.0026458143855765002,0.0402056687483074,0.0139468250052838,0.42567717468048905
2013-01-10,0.010900057963100899,0.385650709543351,0.0023274351696705,0.37089841934994017,0.0023462531354294935,0.0683438313196789,0.0957735899374756,0.0011518160530071,0.009156907842739901,0.1072536942437833,0.009070582279398,0.0189189741113093,0.0020947567869722067,0.0389792593570356,0.0133601199809324,0.4312858006869046
2013-01-11,0.008336233175197499,0.3877662420916562,0.0026520666422438,0.34110785521959297,0.0038712554688878,0.0384719760907451,0.054374003091739995,0.00084344759903859,0.0095908941775875,0.09457578781265161,0.0074368195107191995,0.0112665794653149,0.0017629985484786,0.0397460189077022,0.0109849585777017,0.47866163703865655
2013-01-14,0.0065099348621361994,0.35963926281628944,0.0027314418706491,0.3417473780313077,0.0065806987430632,0.0364736031127319,0.0694305595220194,0.001164833629083691,,0.088983593259012,0.0079297381396329,0.0108982152177789,0.0014336798586729001,0.038845360119393095,0.009935908451258,0.4099003503237513
2013-01-15,0.004665889217874099,0.3827844488797054,0.0022996112910626996,0.3421973765583954,0.015208803646819698,0.0236295899281833,0.04461216039395691,0.0007211215316384014,0.0100776229018075,0.0821339447721004,0.0059350717732127994,0.007675589078832301,0.0009295155080141753,0.0383418686264513,0.008868046232054401,0.4166316939539638
2013-01-16,0.003802884357356086,0.3925890825073292,0.0026957311131087,0.3351692793749812,0.0126195007572674,0.026175453563657698,0.0459849298079797,0.0007438726313764104,0.0140950022116339,0.0881087327616312,0.0056125671649668,0.008388492448201,0.0005014297781598104,0.03602929040629339,0.0075614803987753,0.379515868164197
2013-01-17,0.003173869945295575,0.3960977242432603,0.0044876977558533995,0.3342509493799902,0.0058287264690757,0.036776809580655004,0.0586139007002634,0.0004176567859267458,0.0194662667373331,0.08797588683390689,0.0064863921781736,0.011663745824490802,0.0003717409685326158,0.028914474828200303,0.008368666816864,0.3981856193078781
2013-01-18,0.0030379054046028244,0.3969634826299041,0.0046031501214825,0.3382199281896968,0.0081161692177669,0.0368159055907396,0.0546133245725273,0.0005163441713130681,0.0147112583435008,0.08798557414222999,0.006719037524635801,0.0119641173492847,0.0003519971264789223,0.0280941481530426,0.005939480039470599,0.4052987143804242
2013-01-21,,0.38413517891582993,,,,,,,0.019884449966720598,,,0.0152470748828868,0.0004401720061254192,,,
2013-01-22,0.0032353036164779986,0.3873170944033615,0.0061820165311289,0.36494543895557346,0.0071921900675738,0.0506947668218146,0.0704866426707988,0.0007473662327704754,0.0120913839955437,0.08532092471628991,0.0079735727839387,0.0233649805135972,0.0007987879653230633,0.029322061261242198,0.0056775929433634,0.1804423448539744
2013-01-23,0.0038415681524630943,0.38934335709355633,0.009578408999842799,0.3647410797050715,0.002389475229293811,0.1004746661810459,0.1240167014080488,0.0014350834207728,0.0102962679692276,0.08765602645401141,0.0113720393672317,0.038541341738147494,0.0010608329429707879,0.029181656657012302,0.005483748370151953,0.3766009155749011
2013-01-24,0.0036463171107705087,0.3917896351081408,0.0117603337582795,0.35661940923195523,0.0019569443711093,0.08052137191695569,0.09754456448988799,0.0010228290463994,0.0099433799652197,0.09347387328783541,0.0101815487255583,0.035747529793917196,0.0011445508779324494,0.0281395988942567,0.005181800302670476,0.389974251448449
2013-01-25,0.0032675696731684074,0.3885974626149964,,0.3385231654740495,0.0080471493138627,0.04357510436364739,0.0478429846145248,0.0004987571875979549,0.012272873877739902,0.08616880249123479,0.010444604534309199,0.0306510156711007,0.001789110871608404,0.0280349539218723,0.0054198742639764,0.3945153143139408
2013-01-28,0.003542912064112325,,0.0047113442854691,0.3356085353018396,0.0052565684655874,0.0263658136821774,0.0312618918991721,0.00044242006485109943,0.0180830088568558,0.08163387170621421,0.0123628351380684,0.030638037517243,0.0027357755897547,0.0290706883474754,0.0054748593486713005,0.35769532678119376
2013-01-29,0.0040994905103964,0.3837088850828461,0.0023835803193089002,0.3329199348673274,0.0018167425563817955,0.0181913520595892,0.021778708773998498,0.0006029377281724388,0.0283233919047699,0.1118584013288167,0.0164806903516363,0.0333224560372601,0.0049258133478463,0.0293346182938025,0.006318961559917799,0.3800090120407285
