date,ARG,AUS,BRA,CAN,CHN,FRA,GER,IND,JPN,KOR,MEX,RUS,SIN,THA,UK,US
2013-01-03,0.002895680516141,0.0148230816109782,0.2350257031066724,0.0134568492188425,,0.0256361872399727,0.0208552143493433,0.0003617940546652566,,0.0134335747867806,0.23300232175333768,,0.0409803677676701,0.0059905159560238,0.0006773335638577073,0.0002474347134899996
2013-01-04,0.0018125947402359,0.0118888066352477,0.24272860017358922,0.0081792697934735,,0.0412200107210692,0.0180315284323167,7.62161838150217e-05,,0.0088665514845481,0.1475022794462777,,0.0484617080021871,0.0023795128256411,0.0004089876881292602,0.0001641656582369394
2013-01-07,0.0016172764761396999,0.009719478501994401,0.2332462775184953,0.0059350313228668005,0.14726582386082537,0.0232452500178618,,4.0377054550540303e-05,0.5858297518533935,0.007292797763739,0.036658796175767804,,0.0735765982417102,0.0016717591299401165,0.0004412421941817288,9.658476740350829e-05
2013-01-08,0.0018542820643092,0.0082186328476322,0.2336682871624849,0.0049781817409103,0.1504350532466062,0.015155555836722602,0.0120792898098428,4.3730134943750316e-05,0.5682413554959319,0.0061298004900512,0.505405041923754,,0.0862392347019403,0.0017500984111873358,0.0003308875767693023,5.63620481060608e-05
2013-01-09,0.0016865503290209,0.0071383847319554,0.2378978198180337,0.0052333014958725,0.1555127645732722,0.0156702638346045,0.010594672003654399,4.711027967179095e-05,0.5936006820406795,0.0066333422435343,0.0324973826692492,,0.065952331280999,0.0022064691049601417,0.00027439732083405,4.461228002334513e-05
2013-01-10,0.0012055702262480544,0.0068996574976928,0.2347781703279821,0.0043230579211822,0.15858650870561608,0.0100019003441962,0.0130011531618958,8.208760458316352e-05,0.601100770575515,0.0062859535737094,0.2088501281586574,0.0017910188213410999,0.07311333405023189,0.0018001949392300774,0.0002071522050255163,2.027600171192043e-05
2013-01-11,0.0016569203893051,0.007632405518759901,0.23773950169005187,0.004124343863815229,0.1594515892439882,0.0135082355988535,0.0243268519095738,0.0002778571886710035,0.6238335541886537,0.0056662993529207,0.1401280428187476,0.001324190992917,0.0835160414398682,0.001546212540724922,0.0001901377712269938,1.7915161791279498e-05
2013-01-14,0.0023755785690286997,0.008563212311162801,0.24129309962757212,0.0050188771879207,0.1723772181140443,0.0197691920751953,0.058421992710568804,0.00016812929804300641,,0.005667807035479821,0.1832682352480399,0.0008191196709202,0.08727829523997739,0.0011795161775240229,0.00023570799975610232,1.0373653683735817e-05
2013-01-15,0.0039417241931655,0.013024278824356899,0.24756889244593228,0.0062232895185587,0.17433126438260252,0.0342371296453107,0.06891766250624409,0.0002358984391134017,0.6590503937581849,0.004027450508438695,0.2315450181025294,0.00047500642238349996,0.11489995701276481,0.0011676371866124898,0.0002676731317234387,7.467713866476275e-06
2013-01-16,0.0047707435302572,0.0174316052017372,0.2517984866237991,0.007779374823437962,0.1688237085955509,0.0906971392664802,0.128106548353634,0.0002114517448789329,0.6668500222229088,0.0043200313828129,0.056219564169457496,0.0004020286997355278,0.1315397406531274,0.0012213638305327485,0.00027590964933077943,7.62216257592046e-06
2013-01-17,0.0066577300303601004,0.0224551500787618,0.2513442873067497,0.00891399657402387,0.16148524136075249,0.0459111818228595,0.1430900429124031,0.0001635804436743196,0.8025555171532182,0.0048530102792693,0.4839666711813009,0.00042147883647679997,0.1392750898950512,0.0013520428718852124,0.0003170392871567333,6.7218855806452e-06
2013-01-18,0.011534156324085899,0.0278086303052737,0.247749119174015,0.0104032057333862,0.1566900282745727,0.0531987671122858,0.1951940062976827,0.00017718873766818142,0.7926603848676347,0.0052681059896733,0.060277340742609306,0.0003029136174280742,0.1115273582721827,0.0013167520901883737,0.0003676850450026757,7.274640362564017e-06
2013-01-21,,0.0413491573784205,,,,,,,0.8703937394300985,,,0.0003039329878120157,0.0991468156660228,,,
2013-01-22,0.0079130944011716,0.0626807231429745,0.24650500879048437,0.0082491536380861,0.1547146114060742,0.048335225359359205,0.23600356927681548,0.00022453582833548662,0.8704436123996939,0.0064171164552202,0.2256462974867944,0.00029504696846875905,0.1303805027552275,0.0016792902976209923,0.0004284124801670325,6.765950335802379e-06
2013-01-23,0.008583810981319101,0.095879268467418,0.2443445132589016,0.0070576786624087,0.1526482152649089,0.0687127821917831,0.27233579984535,0.0003274062169243875,0.8641897936001242,0.0065108135924041004,0.14770011981373882,0.000255460553442418,0.1748239761667237,0.0023539127250245023,0.0005096277009290822,1.0093744301956006e-05
2013-01-24,0.0103830877049948,0.1275909239175761,0.24447654543966402,0.0069769068176952,0.1466222460438965,0.059487376796555504,0.2885550812694434,0.0005178232558767789,0.8582223127778501,0.0066444987253266,0.0647997240582869,0.0003409264424769856,0.1892293411635789,0.0030640198461694287,0.0005359431192085461,1.772035566273952e-05
2013-01-25,0.0137288847663958,0.1502751709927216,,0.0070749384087588,0.16533064927109492,0.0651866633373431,0.3441921271783075,0.0004105017656527912,0.8431182594015804,0.0049781589600787,0.4777177511639597,0.0004431873010324,0.1463130844875074,0.003593704338325837,0.0012085017508755,2.4111254750065996e-05
2013-01-28,0.02193160356553,,0.21947379289712238,0.0087639178335757,0.16311345421918688,0.0897704190279936,0.4932046890676118,0.00047460250130728764,0.8855928779619435,0.0046205948958211,0.0437300791715139,0.00035708481904047284,0.1612989025853572,0.0038648915890501243,0.0014395268881240001,4.607285206953316e-05
