date,ARG,AUS,BRA,CAN,CHN,FRA,GER,IND,JPN,KOR,MEX,RUS,SIN,THA,UK,US
2015-08-06,6.439787878762817e-05,0.0005132748775519,0.2776544790455756,0.3723419986639501,0.0001189059830666691,0.4699849188225118,0.42482794119430206,0.2755213147050294,0.022004353364527253,0.3165545918770536,0.820633973622624,0.5986988016952268,0.211209108486645,0.31353222189268515,0.0005912590093429468,0.48773074055340093
2015-08-07,3.5259762185626634e-05,0.0006117887858532,0.3197066081690403,0.37747503022436124,0.00034682188824688287,0.46411252903307176,0.4228895124746435,0.2826385900017936,0.026875163974238343,0.2759984657313568,0.770310470849376,0.5984718786324336,,0.24807912366951698,0.0007852925895855355,0.48591878371641706
2015-08-10,2.0228689672995668e-05,0.0006819978418363,0.33971491939458454,0.38258466675781155,0.0011218320442768,0.4677935745734395,0.42755535958736907,0.3700039530013249,0.03261762850011752,0.2810842579006478,0.721752840526287,0.5976791029694214,,0.2711616795335949,0.0005836051627346571,0.46025213653258495
2015-08-11,6.808149222339033e-05,0.0007181008576529,0.3790393430441734,0.43657108143020973,0.0012357450190145,0.4443073540834772,0.40317720307125837,0.3052068770450368,0.03648488047296595,0.2695518084263423,0.6751854937027459,0.6121970305841166,0.19953669274036218,0.3886054195441433,0.000619660234300435,0.3588483768173113
2015-08-12,7.51692529613367e-05,0.0008019427418805,0.3971628720388428,0.4235966537927472,0.0133114080299175,0.46219614271362547,0.4154099958364869,0.4496479894217113,0.04561584322303723,0.5648906530130839,0.683108907832417,0.624933189520489,0.5314514452564252,,0.0004844705460569283,0.350742959183289
2015-08-13,0.00012433955703781838,0.0006948858180265999,0.41590256970415074,0.3380458411759987,0.013630106844909302,0.5942632840741231,0.510442683044834,0.5686024915717834,0.037514573830274366,0.4590685192645556,0.660240713941149,0.6331232899870349,0.5768185681504964,0.4348134582065871,0.0004048724124605213,0.3793623443897864
2015-08-14,0.00010400516419272703,0.0007822593071088999,0.4519822551305978,0.3055797581806242,0.013722082440314101,0.5995682556268932,0.5121879618950401,0.5785114535949331,0.027833691047223687,,0.6587159513362231,0.639167907155774,0.6137305488703816,0.47070915593312534,0.0004095701001928221,0.3858873624007385
2015-08-17,,0.0007068589136563,0.470659057231646,,0.0146708413670221,0.5857670430490256,0.5044854944684909,0.5772542687653915,0.03392935062614929,0.4401063867905508,0.662294683982878,0.6434539356609861,0.5632053774114362,0.4397806832182624,0.0004812353046006713,0.4010511795700922
2015-08-18,0.00010727145814612069,0.0006835404954104,0.48652844890471003,0.3002131186581447,0.0180809757133682,0.5860027586088895,0.49558511232812624,,0.044571169553543,0.4517220451414411,0.66629349471537,0.650734806486171,0.5156731667336174,0.29264446197272814,0.00040798304663118627,0.40695338981961693
2015-08-19,0.00011064803155874362,0.0006819180254014001,0.492758045250382,0.2954080570857087,0.0253152103000678,0.5625404066110906,0.47664883020755394,0.5998063739053515,0.060853074964334196,0.4507315098628716,0.690001618529963,0.664140947614984,0.47006170533877334,0.293274372975912,0.0005664676754798439,0.42315827459511424
2015-08-20,0.00015429897536185566,0.000704694927891,0.49191212917864097,0.30925106419719384,0.0294023360689593,0.5463112604894524,0.4593571792108253,0.5606085942863224,0.08182592712076091,0.4393702202344582,0.67368276597392,0.700348168121975,0.4029750692934368,0.3080686196754889,0.0007646861425713457,0.5808587037835888
2015-08-21,0.0002174257382601324,0.000725991922038,0.490348786513192,0.28335311186076473,0.039973957867545595,0.5549392858554203,0.4722443187523551,0.5322290391465719,0.12618919943199924,0.4421033342571461,0.682984282036733,0.7071353614995239,0.36610833813050475,0.3936421579969807,0.0014906025482003,0.7332003453978471
2015-08-24,0.00022511532606612656,0.0007307672682673,0.514707020542202,0.291473154016321,0.0424947472482028,0.6125523239863242,0.5200750785721443,0.5316951046139852,0.1780149630058766,0.4999053068766265,0.758844163893899,0.751588426227926,0.3794839683644866,0.3908543283745428,0.0040009380638579995,0.887821351296393
2015-08-25,0.00021665910249295622,0.0008385636915127,0.586127755326568,0.31403192562306714,0.0442098324867458,0.7329971776347548,0.6338954396793314,0.7325520207416599,0.3436317010692975,0.4466859894747247,0.780964491763541,0.7937252727176769,0.3541460515393005,0.3643034746986905,0.013137616264221899,1.004661759838155
2015-08-26,0.00017401575243054194,0.0007612878129332388,0.587177684124947,0.29094923354877344,0.0456911333142654,0.6940806234224319,0.6040392378398232,0.7356513228947691,0.33841229396096323,0.3769709722904152,0.7603342810007699,0.8356367941546831,0.44345527360730946,0.2861744450229625,0.0057448975075462,0.929344241034024
2015-08-27,0.00012229937961860275,0.0007909288394523,0.41660780854687096,0.28181209099553467,0.0518095580895436,0.6671894697965902,0.5809038788450597,0.7694474823407031,0.2961206770581691,0.4715925890925523,0.661362452893139,0.8051490253829101,0.4599353222820386,0.24987175695948688,0.0018748446985137998,0.899805941775678
2015-08-28,0.00012017442193212318,0.0008265402547718,0.4531974270935323,0.28698818414981075,0.0526307697496246,0.6926793023460766,0.6038146175397257,0.8239559948473004,0.25277934867783775,0.42110149549143916,0.654904000591963,0.8311382329975721,0.4116517875116793,0.2013083737538951,0.0008458014182300001,0.881016517333535
